County,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_TOTAL VOTES,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_TOTAL VOTES,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_TOTAL VOTES,Total,
Appling,1635,841,3680,8,6164,308,537,784,2,1631,39,35,85,1,160,7955,
Atkinson,687,173,1371,1,2232,188,112,363,0,663,29,4,31,0,64,2959,
Bacon,399,470,2951,1,3821,121,173,247,0,541,20,14,47,0,81,4443,
Baker,269,132,439,1,841,133,224,245,1,603,9,5,9,0,23,1467,
Baldwin,1789,1288,5648,2,8727,1426,2819,4202,1,8448,162,110,314,0,586,17761,
Banks,1558,995,4929,11,7493,135,312,389,3,839,60,39,128,0,227,8559,
Barrow,5609,4038,16340,3,25990,1479,3175,4528,3,9185,514,374,882,0,1770,36945,
Bartow,9734,5927,20949,16,36626,1913,3973,4821,6,10713,655,424,893,4,1976,49315,
Ben Hill,418,525,3082,0,4025,307,661,1253,0,2221,44,35,92,0,171,6417,
Berrien,1796,763,3761,9,6329,285,310,471,0,1066,55,21,97,0,173,7568,
Bibb,7815,5539,13190,43,26587,8070,13275,19086,118,40549,690,492,897,3,2082,69218,
Bleckley,910,608,2703,1,4222,265,388,547,0,1200,38,19,72,0,129,5551,
Brantley,1825,651,4045,7,6528,140,186,316,0,642,68,28,101,0,197,7367,
Brooks,1373,518,2282,2,4175,458,1033,1037,2,2530,55,41,68,0,164,6869,
Bryan,2486,1612,9867,4,13969,728,1850,3345,3,5926,208,196,475,0,879,20774,
Bulloch,6509,2852,8947,23,18331,2103,3165,4634,31,9933,406,212,486,2,1106,29370,
Burke,1872,640,2705,0,5217,1392,1770,1742,0,4904,78,50,96,0,224,10345,
Butts,797,1106,6273,1,8177,333,893,1757,2,2985,49,70,199,0,318,11480,
Calhoun,269,154,483,0,906,328,419,431,0,1178,9,2,9,0,20,2104,
Camden,3386,2147,9172,3,14708,1036,2506,3610,3,7155,367,211,598,0,1176,23039,
Candler,1534,370,1140,0,3044,479,351,322,1,1153,60,16,24,0,100,4297,
Carroll,10777,4688,21287,28,36780,2598,4182,7713,14,14507,667,367,988,2,2024,53311,
Catoosa,4911,2911,16552,16,24390,818,1863,3284,4,5969,382,187,680,3,1252,31611,
Charlton,1057,369,1807,2,3235,205,272,514,0,991,44,20,57,0,121,4347,
Chatham,18099,12564,22974,88,53725,16185,26448,28898,164,71695,1931,1377,1637,28,4973,130393,
Chattahoochee,274,125,431,2,832,127,149,291,0,567,33,17,35,0,85,1484,
Chattooga,2317,1028,4247,4,7596,339,627,772,2,1740,101,65,143,0,309,9645,
Cherokee,22964,20086,55410,16,98476,5205,14710,16300,5,36220,2264,1595,2779,4,6642,141338,
Clarke,3398,4398,7321,16,15133,4686,13120,15086,29,32921,684,621,850,6,2161,50215,
Clay,128,104,385,0,617,154,277,299,0,730,8,11,11,0,30,1377,
Clayton,2920,4108,7569,43,14640,15979,26150,49473,417,92019,1064,892,1708,20,3684,110343,
Clinch,635,226,1278,0,2139,165,114,278,0,557,14,9,23,0,46,2742,
Cobb,37337,55151,77746,164,170398,26439,84633,87310,305,198687,5181,5687,6794,44,17706,386791,
Coffee,2430,881,6811,8,10130,1007,912,2186,3,4108,95,57,162,1,315,14553,
Colquitt,4120,1360,5964,10,11454,999,1080,1668,2,3749,134,61,168,1,364,15567,
Columbia,13248,7381,29806,42,50477,4153,8386,13021,27,25587,1016,608,1409,3,3036,79100,
Cook,1099,491,3247,0,4837,483,475,928,0,1886,52,31,81,1,165,6888,
Coweta,17845,9668,23533,5,51051,4552,8128,8539,13,21232,1196,715,990,3,2904,75187,
Crawford,1104,537,2634,1,4276,237,492,757,1,1487,52,37,68,0,157,5920,
Crisp,946,802,3169,3,4920,505,786,1343,1,2635,53,46,99,0,198,7753,
Dade,1892,609,3206,6,5713,221,324,593,1,1139,95,38,127,0,260,7112,
Dawson,2265,1981,8874,3,13123,189,876,936,0,2001,150,109,328,1,588,15712,
Decatur,1415,810,4319,5,6549,715,1388,2299,8,4410,80,70,132,0,282,11241,
DeKalb,11906,18442,31921,172,62441,31030,101917,152552,1126,286625,3056,3928,6683,79,13746,362812,
Dodge,2216,703,2691,5,5615,498,519,906,0,1923,67,33,72,0,172,7710,
Dooly,437,258,1374,2,2071,421,447,873,2,1743,33,11,39,0,83,3897,
Dougherty,4190,2401,3838,21,10450,6821,7617,8615,75,23128,378,203,245,11,837,34415,
Douglas,4520,5498,15051,12,25081,5436,13230,21649,39,40354,650,617,1143,5,2415,67850,
Early,765,410,1487,0,2662,584,649,963,0,2196,29,14,46,0,89,4947,
Echols,214,122,901,0,1237,25,22,82,0,129,9,4,22,0,35,1401,
Effingham,7142,2500,13143,15,22800,1494,2092,3235,10,6831,451,215,469,2,1137,30768,
Elbert,1757,955,3335,0,6047,496,1020,1154,0,2670,67,52,100,0,219,8936,
Emanuel,2416,879,2993,1,6289,748,732,1105,0,2585,86,46,87,1,220,9094,
Evans,448,490,1861,0,2799,215,302,676,0,1193,21,25,58,0,104,4096,
Fannin,3914,2192,5507,20,11633,334,1003,915,0,2252,134,113,153,2,402,14287,
Fayette,6270,7763,22793,0,36826,2953,9871,15499,0,28323,609,613,1335,0,2557,67706,
Floyd,7562,4462,14334,107,26465,1890,3503,4220,13,9626,516,259,584,4,1363,37454,
Forsyth,9471,15414,60672,28,85585,2699,13264,19595,20,35578,919,1194,3157,3,5273,126436,
Franklin,2199,1399,5241,1,8840,304,550,564,1,1419,89,49,135,0,273,10532,
Fulton,19189,34711,92517,844,147261,33226,102690,203763,2226,341905,3980,4840,11092,283,20195,509361,
Gilmer,4135,2145,6632,11,12923,372,1116,1052,0,2540,176,117,194,1,488,15951,
Glascock,380,184,754,0,1318,38,54,54,0,146,10,3,8,0,21,1485,
Glynn,4514,4432,16225,30,25201,1890,5153,7089,19,14151,386,300,770,3,1459,40811,
Gordon,6611,2472,9488,9,18580,913,1292,1703,2,3910,280,130,304,2,716,23206,
Grady,1957,1078,3807,0,6842,575,1030,1732,0,3337,75,50,88,0,213,10392,
Greene,834,1357,5013,2,7206,521,1337,1721,8,3587,54,67,133,0,254,11047,
Gwinnett,33855,42114,89529,223,165721,32225,73536,115533,363,221657,4887,4321,7843,55,17106,404484,
Habersham,2497,2853,10710,18,16078,427,1137,1488,2,3054,180,156,381,2,719,19851,
Hall,10636,12197,40352,0,63185,3278,7890,10247,0,21415,1036,812,1962,0,3810,88410,
Hancock,266,240,613,0,1119,577,1157,1055,3,2792,25,23,28,0,76,3987,
Haralson,4119,1739,6013,4,11875,341,600,666,0,1607,149,81,177,0,407,13889,
Harris,5487,2152,6543,14,14196,1090,1814,1870,4,4778,255,148,211,0,614,19588,
Hart,2232,1424,5511,2,9169,498,996,1300,2,2796,109,52,159,0,320,12285,
Heard,1569,655,2086,1,4311,163,273,305,1,742,42,36,70,0,148,5201,
Henry,7818,8130,31315,25,47288,7660,19862,42096,68,69686,887,833,2182,7,3909,120883,
Houston,11415,8305,21539,43,41302,5717,10889,12905,44,29555,917,665,961,6,2549,73406,
Irwin,621,370,2067,3,3061,213,233,477,1,924,27,15,36,0,78,4063,
Jackson,4786,4396,19707,6,28895,875,2454,3304,1,6634,332,279,695,0,1306,36835,
Jasper,1482,810,3397,11,5700,270,624,695,1,1590,63,45,80,1,189,7479,
Jeff Davis,1325,513,2597,0,4435,226,257,462,0,945,42,17,58,0,117,5497,
Jefferson,1046,431,1902,4,3383,984,1195,1597,7,3783,50,32,70,1,153,7319,
Jenkins,542,339,1204,3,2088,280,378,501,1,1160,24,16,30,0,70,3318,
Johnson,738,316,1675,0,2729,192,356,543,0,1091,25,16,46,0,87,3907,
Jones,2912,1290,5574,5,9781,750,1554,2150,0,4454,129,77,177,1,384,14619,
Lamar,1679,804,3701,8,6192,441,877,1096,2,2416,92,44,119,0,255,8863,
Lanier,543,297,1859,0,2699,117,232,363,0,712,25,20,52,0,97,3508,
Laurens,5467,2321,6319,3,14110,1738,2559,3195,2,7494,171,120,194,0,485,22089,
Lee,2977,1218,7655,4,11854,775,1128,2180,2,4085,148,57,210,0,415,16354,
Liberty,1615,1268,4740,0,7623,1510,4003,6689,0,12202,242,204,414,0,860,20685,
Lincoln,868,422,1788,0,3078,244,590,488,0,1322,39,28,54,0,121,4521,
Long,1050,279,2015,8,3352,352,467,1061,8,1888,73,31,119,0,223,5463,
Lowndes,5336,3585,16951,170,26042,2516,5347,9964,245,18072,365,268,702,18,1353,45467,
Lumpkin,1926,2013,7867,0,11806,247,1082,1327,0,2656,166,113,383,0,662,15124,
Macon,321,137,1244,0,1702,634,673,1316,0,2623,25,13,38,0,76,4401,
Madison,3349,1682,5888,2,10921,637,1088,1327,1,3053,198,93,200,0,491,14465,
Marion,708,297,1175,0,2180,211,443,562,0,1216,34,24,40,0,98,3494,
McDuffie,816,905,4359,0,6080,551,1437,1889,0,3877,63,47,148,0,258,10215,
McIntosh,771,810,2291,1,3873,393,784,1192,0,2369,60,47,79,0,186,6428,
Meriwether,2113,975,3189,2,6279,1121,1396,1513,5,4035,101,48,112,0,261,10575,
Miller,487,262,1187,2,1938,153,193,311,0,657,16,14,25,0,55,2650,
Mitchell,1503,685,2646,2,4836,761,1422,1548,4,3735,48,37,70,1,156,8727,
Monroe,2975,1066,6745,6,10792,614,1235,2056,2,3907,158,85,253,0,496,15195,
Montgomery,1054,342,1445,0,2841,229,283,368,0,880,33,9,46,0,88,3809,
Morgan,1828,945,5375,2,8150,435,953,1595,1,2984,106,63,168,2,339,11473,
Murray,3664,1309,7282,0,12255,465,616,944,0,2025,127,69,207,0,403,14683,
Muscogee,6284,6674,16971,18,29947,5976,16146,23483,25,45630,780,766,1360,5,2911,78488,
