County,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_TOTAL VOTES,Total,
Atkinson,795,217,1505,1,2518,2518,
Bacon,477,533,3080,1,4091,4091,
Ben Hill,633,829,3723,0,5185,5185,
Berrien,1977,884,4007,9,6877,6877,
Charlton,567,156,512,2,1237,1237,
Coffee,2948,1216,7790,7,11961,11961,
Irwin,766,462,2329,3,3560,3560,
Pierce,1260,1043,5855,0,8158,8158,
Ware,2837,2098,6770,0,11705,11705,
Wilcox,269,185,763,0,1217,1217,
