Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total
88,22,41,1,0,64,13,30,10,1,54,20.0,45.0,20.0,0.0,85.0,496.0,971.0,338.0,2.0,1807.0,6.0,26.0,8.0,1.0,41.0,6.0,15.0,2.0,0.0,23.0,3.0,2.0,2.0,0.0,7.0,0.0,8.0,3.0,0.0,11.0,595.0,1266.0,167.0,2.0,2030.0,172.0,484.0,393.0,2.0,1051.0,9.0,9.0,7.0,0.0,25.0,8159.0
42,13,22,1,0,36,14,33,6,0,53,22.0,25.0,9.0,0.0,56.0,275.0,582.0,89.0,0.0,946.0,8.0,7.0,0.0,0.0,15.0,7.0,2.0,1.0,0.0,10.0,1.0,5.0,0.0,0.0,6.0,1.0,3.0,4.0,0.0,8.0,21.0,40.0,2.0,0.0,63.0,111.0,234.0,61.0,0.0,406.0,7.0,13.0,3.0,0.0,23.0,2995.0
39,18,64,4,0,86,12,17,5,1,35,10.0,26.0,13.0,0.0,49.0,142.0,1173.0,232.0,0.0,1547.0,3.0,9.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,7.0,65.0,370.0,27.0,0.0,462.0,57.0,148.0,110.0,0.0,315.0,5.0,7.0,3.0,0.0,15.0,4512.0
21,5,11,1,0,17,9,12,12,0,33,6.0,11.0,2.0,0.0,19.0,151.0,194.0,67.0,1.0,413.0,2.0,3.0,4.0,0.0,9.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,8.0,92.0,199.0,166.0,0.0,457.0,4.0,6.0,3.0,0.0,13.0,1514.0
322,63,110,11,0,184,82,204,78,0,364,94.0,248.0,102.0,0.0,444.0,946.0,2942.0,748.0,3.0,4639.0,41.0,95.0,18.0,0.0,154.0,37.0,67.0,8.0,0.0,112.0,13.0,18.0,9.0,0.0,40.0,6.0,30.0,17.0,0.0,53.0,23.0,57.0,12.0,0.0,92.0,950.0,2978.0,2238.0,1.0,6167.0,31.0,69.0,32.0,0.0,132.0,17942.0
33,20,38,7,1,66,10,16,10,0,36,14.0,44.0,17.0,0.0,75.0,543.0,1659.0,399.0,4.0,2605.0,3.0,8.0,1.0,0.0,12.0,24.0,22.0,7.0,0.0,53.0,2.0,12.0,1.0,0.0,15.0,1.0,5.0,6.0,0.0,12.0,30.0,24.0,7.0,0.0,61.0,84.0,279.0,240.0,1.0,604.0,4.0,9.0,4.0,0.0,17.0,8679.0
428,115,238,32,0,385,114,318,165,0,597,168.0,394.0,194.0,0.0,756.0,3106.0,9061.0,2314.0,2.0,14483.0,73.0,146.0,40.0,0.0,259.0,156.0,217.0,66.0,0.0,439.0,33.0,57.0,19.0,0.0,109.0,18.0,50.0,34.0,0.0,102.0,116.0,262.0,46.0,0.0,424.0,882.0,2912.0,2228.0,3.0,6025.0,24.0,63.0,46.0,0.0,133.0,37190.0
471,173,227,39,0,439,132,297,145,2,576,247.0,485.0,292.0,1.0,1025.0,5526.0,12157.0,3496.0,4.0,21183.0,84.0,143.0,41.0,0.0,268.0,186.0,201.0,83.0,1.0,471.0,39.0,48.0,23.0,0.0,110.0,15.0,32.0,39.0,0.0,86.0,209.0,383.0,48.0,0.0,640.0,1292.0,3319.0,3041.0,3.0,7655.0,53.0,78.0,43.0,1.0,175.0,49618.0
121,16,50,5,0,71,35,91,45,0,171,21.0,86.0,39.0,0.0,146.0,164.0,1321.0,295.0,0.0,1780.0,9.0,34.0,8.0,0.0,51.0,6.0,13.0,4.0,0.0,23.0,2.0,6.0,3.0,0.0,11.0,1.0,9.0,8.0,0.0,18.0,13.0,84.0,9.0,0.0,106.0,143.0,740.0,425.0,0.0,1308.0,6.0,37.0,10.0,0.0,53.0,6444.0
54,32,63,7,1,103,13,36,13,0,62,28.0,38.0,36.0,0.0,102.0,936.0,1975.0,404.0,3.0,3318.0,13.0,14.0,2.0,0.0,29.0,10.0,12.0,4.0,0.0,26.0,4.0,2.0,5.0,0.0,11.0,2.0,7.0,4.0,0.0,13.0,57.0,78.0,4.0,0.0,139.0,187.0,331.0,183.0,0.0,701.0,6.0,9.0,7.0,0.0,22.0,7565.0
