County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Baker,2258.0,241.0,407.0,87.0,1.0,736.0,190.0,310.0,279.0,1.0,780.0,1516.0
Bibb,79542.0,4379.0,6072.0,2273.0,20.0,12744.0,6731.0,14749.0,10437.0,84.0,32001.0,44745.0
Calhoun,3184.0,203.0,394.0,97.0,0.0,694.0,433.0,545.0,487.0,0.0,1465.0,2159.0
Chattahoochee,0.0,279.0,420.0,112.0,2.0,813.0,164.0,366.0,184.0,1.0,715.0,1528.0
Clay,2053.0,108.0,371.0,102.0,0.0,581.0,186.0,350.0,303.0,0.0,839.0,1420.0
Crawford,8512.0,1080.0,2568.0,516.0,1.0,4165.0,314.0,902.0,557.0,1.0,1774.0,5939.0
Crisp,12554.0,916.0,3129.0,742.0,4.0,4791.0,627.0,1607.0,922.0,1.0,3157.0,7948.0
Decatur,16618.0,1341.0,4158.0,750.0,4.0,6253.0,890.0,2697.0,1532.0,9.0,5128.0,11381.0
Dooly,5949.0,428.0,1318.0,239.0,3.0,1988.0,498.0,1003.0,492.0,1.0,1994.0,3982.0
Dougherty,61172.0,3730.0,3595.0,2107.0,13.0,9445.0,7823.0,9275.0,8239.0,92.0,25429.0,34874.0
Early,7320.0,703.0,1377.0,351.0,3.0,2434.0,707.0,1188.0,748.0,0.0,2643.0,5077.0
Grady,15442.0,1868.0,3695.0,1017.0,7.0,6587.0,758.0,1988.0,1171.0,10.0,3927.0,10514.0
Lee,22897.0,2832.0,7356.0,1144.0,3.0,11335.0,1112.0,2736.0,1283.0,3.0,5134.0,16469.0
Macon,6991.0,310.0,1186.0,118.0,0.0,1614.0,703.0,1495.0,718.0,0.0,2916.0,4530.0
Marion,4913.0,681.0,1129.0,282.0,0.0,2092.0,291.0,694.0,491.0,0.0,1476.0,3568.0
Miller,3912.0,478.0,1152.0,236.0,2.0,1868.0,208.0,422.0,241.0,0.0,871.0,2739.0
Mitchell,13474.0,1367.0,2463.0,570.0,0.0,4400.0,985.0,1848.0,1589.0,7.0,4429.0,8829.0
Muscogee,103583.0,3171.0,8684.0,3373.0,9.0,15237.0,5646.0,21291.0,14390.0,22.0,41349.0,56586.0
Peach,17996.0,895.0,4510.0,752.0,13.0,6170.0,847.0,3453.0,1755.0,4.0,6059.0,12229.0
Quitman,1547.0,129.0,316.0,77.0,0.0,522.0,186.0,212.0,145.0,1.0,544.0,1066.0
Randolph,4341.0,253.0,747.0,161.0,0.0,1161.0,464.0,889.0,507.0,3.0,1863.0,3024.0
Schley,2882.0,274.0,1260.0,140.0,1.0,1675.0,92.0,290.0,171.0,0.0,553.0,2228.0
Seminole,5936.0,861.0,1314.0,245.0,0.0,2420.0,347.0,727.0,287.0,0.0,1361.0,3781.0
Stewart,2893.0,188.0,417.0,88.0,3.0,696.0,315.0,529.0,394.0,9.0,1247.0,1943.0
Sumter,17800.0,1362.0,3099.0,734.0,10.0,5205.0,1294.0,3373.0,2115.0,8.0,6790.0,11995.0
Talbot,4563.0,435.0,634.0,204.0,1.0,1274.0,560.0,646.0,974.0,0.0,2180.0,3454.0
Taylor,5400.0,327.0,1657.0,265.0,12.0,2261.0,284.0,688.0,509.0,3.0,1484.0,3745.0
Terrell,6594.0,589.0,960.0,229.0,0.0,1778.0,648.0,1067.0,875.0,1.0,2591.0,4369.0
Webster,1705.0,112.0,461.0,103.0,0.0,676.0,164.0,291.0,244.0,0.0,699.0,1375.0
