County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total
Turner,Ashburn,3509.0,5,3,1,0,9,2,6,3,0,11,48,298,49,0,395,0,1,1,0,2,3,19,1,0,23,2,6,4,0,12,2,9,4,0,15,62,92,30,0,184,15,29,10,0,54,8,6,0,0,14,18,47,16,0,81,14.0,34.0,7.0,0.0,55.0,65.0,412.0,73.0,0.0,550.0,7.0,12.0,3.0,0.0,22.0,8.0,8.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,3.0,13.0,1.0,1.0,18.0,155.0,423.0,155.0,0.0,733.0,5.0,12.0,2.0,0.0,19.0,2219.0
Turner,Sycamore,1609.0,2,3,0,0,5,0,2,0,0,2,46,274,35,0,355,1,1,0,0,2,2,7,1,0,10,0,1,0,0,1,0,6,0,0,6,5,5,0,0,10,2,2,0,0,4,2,11,0,0,13,1,7,2,0,10,0.0,6.0,3.0,0.0,9.0,65.0,491.0,44.0,1.0,601.0,1.0,3.0,1.0,0.0,5.0,4.0,3.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,2.0,12.0,0.0,0.0,14.0,18.0,67.0,19.0,0.0,104.0,0.0,2.0,0.0,0.0,2.0,1167.0
Turner,Rebecca,464.0,1,0,0,0,1,0,2,1,0,3,41,59,6,0,106,0,0,0,0,0,1,1,2,0,4,0,2,0,0,2,0,1,2,0,3,1,2,1,0,4,0,0,1,0,1,1,3,0,0,4,1,0,1,0,2,1.0,0.0,0.0,0.0,1.0,66.0,78.0,15.0,0.0,159.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,6.0,13.0,10.0,0.0,29.0,1.0,0.0,3.0,0.0,4.0,331.0
Floyd,Alto Park,3360.0,3,3,1,0,7,1,3,1,0,5,127,392,130,5,654,0,2,3,0,5,8,13,4,0,25,3,3,2,0,8,6,16,3,0,25,19,27,18,0,64,6,8,5,0,19,5,8,3,0,16,4,15,4,0,23,12.0,30.0,14.0,0.0,56.0,168.0,524.0,157.0,6.0,855.0,3.0,5.0,1.0,0.0,9.0,1.0,12.0,5.0,0.0,18.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,5.0,19.0,5.0,0.0,29.0,47.0,156.0,186.0,0.0,389.0,1.0,5.0,1.0,0.0,7.0,2221.0
Floyd,Armuchee,1269.0,2,0,0,0,2,0,0,0,0,0,103,140,47,0,290,0,0,0,0,0,6,3,1,0,10,0,0,2,0,2,4,6,0,0,10,6,7,3,0,16,0,1,0,0,1,4,4,1,0,9,4,0,0,0,4,5.0,6.0,3.0,0.0,14.0,143.0,190.0,53.0,1.0,387.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,11.0,22.0,50.0,34.0,0.0,106.0,3.0,0.0,4.0,0.0,7.0,879.0
Floyd,Barkers,2355.0,4,1,1,0,6,1,0,0,0,1,136,282,88,4,510,2,2,0,0,4,10,11,0,0,21,2,3,1,0,6,9,17,1,0,27,4,10,3,0,17,5,2,1,0,8,5,11,1,0,17,0,2,2,0,4,4.0,13.0,10.0,0.0,27.0,209.0,432.0,97.0,6.0,744.0,2.0,3.0,1.0,0.0,6.0,6.0,4.0,2.0,0.0,12.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,12.0,15.0,3.0,0.0,30.0,23.0,57.0,64.0,0.0,144.0,0.0,1.0,1.0,0.0,2.0,1591.0
Floyd,Cave Spring,1617.0,3,2,0,0,5,5,2,3,0,10,153,134,64,1,352,2,2,2,0,6,5,6,1,0,12,4,0,0,0,4,11,5,4,0,20,5,4,5,0,14,2,3,2,0,7,7,5,2,0,14,3,1,1,0,5,10.0,4.0,7.0,0.0,21.0,209.0,133.0,57.0,3.0,402.0,1.0,1.0,1.0,1.0,4.0,8.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,10.0,1.0,0.0,20.0,43.0,38.0,84.0,1.0,166.0,0.0,1.0,1.0,0.0,2.0,1077.0
Floyd,Chulio,1155.0,0,1,0,0,1,0,0,0,0,0,87,91,35,4,217,0,2,1,0,3,7,8,2,0,17,1,1,0,0,2,3,1,0,0,4,2,0,4,0,6,2,1,2,0,5,6,2,1,0,9,0,1,1,0,2,4.0,4.0,5.0,0.0,13.0,167.0,176.0,58.0,13.0,414.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,11.0,29.0,25.0,45.0,0.0,99.0,1.0,0.0,0.0,0.0,1.0,810.0
Floyd,Etowah,4946.0,1,2,4,0,7,4,7,3,0,14,221,599,184,2,1006,1,2,1,0,4,11,19,7,0,37,3,5,3,0,11,18,23,0,0,41,8,26,12,0,46,3,4,5,0,12,13,23,3,0,39,2,9,5,0,16,11.0,32.0,11.0,0.0,54.0,289.0,857.0,224.0,5.0,1375.0,2.0,7.0,1.0,0.0,10.0,9.0,13.0,7.0,0.0,29.0,0.0,5.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,7.0,12.0,25.0,1.0,0.0,38.0,74.0,208.0,250.0,3.0,535.0,4.0,3.0,3.0,0.0,10.0,3296.0
Floyd,Everett Springs,421.0,2,0,0,0,2,0,0,0,0,0,62,29,8,1,100,1,0,0,0,1,3,0,2,0,5,0,0,1,0,1,3,2,0,0,5,4,1,1,0,6,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,4.0,1.0,2.0,0.0,7.0,99.0,31.0,13.0,3.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,21.0,7.0,17.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,325.0
