County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Turner,Ashburn,3509.0,9.0,11.0,395.0,2.0,23.0,12.0,15.0,184.0,54.0,14.0,81.0,55.0,550.0,22.0,16.0,1.0,5.0,18.0,733.0,19.0,2219.0
Turner,Sycamore,1609.0,5.0,2.0,355.0,2.0,10.0,1.0,6.0,10.0,4.0,13.0,10.0,9.0,601.0,5.0,8.0,1.0,5.0,14.0,104.0,2.0,1167.0
Turner,Rebecca,464.0,1.0,3.0,106.0,0.0,4.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,159.0,3.0,1.0,0.0,0.0,4.0,29.0,4.0,331.0
Floyd,Alto Park,3360.0,7.0,5.0,654.0,5.0,25.0,8.0,25.0,64.0,19.0,16.0,23.0,56.0,855.0,9.0,18.0,4.0,3.0,29.0,389.0,7.0,2221.0
Floyd,Armuchee,1269.0,2.0,0.0,290.0,0.0,10.0,2.0,10.0,16.0,1.0,9.0,4.0,14.0,387.0,3.0,5.0,2.0,0.0,11.0,106.0,7.0,879.0
Floyd,Barkers,2355.0,6.0,1.0,510.0,4.0,21.0,6.0,27.0,17.0,8.0,17.0,4.0,27.0,744.0,6.0,12.0,4.0,1.0,30.0,144.0,2.0,1591.0
Floyd,Cave Spring,1617.0,5.0,10.0,352.0,6.0,12.0,4.0,20.0,14.0,7.0,14.0,5.0,21.0,402.0,4.0,10.0,0.0,3.0,20.0,166.0,2.0,1077.0
Floyd,Chulio,1155.0,1.0,0.0,217.0,3.0,17.0,2.0,4.0,6.0,5.0,9.0,2.0,13.0,414.0,0.0,4.0,2.0,0.0,11.0,99.0,1.0,810.0
Floyd,Etowah,4946.0,7.0,14.0,1006.0,4.0,37.0,11.0,41.0,46.0,12.0,39.0,16.0,54.0,1375.0,10.0,29.0,5.0,7.0,38.0,535.0,10.0,3296.0
Floyd,Everett Springs,421.0,2.0,0.0,100.0,1.0,5.0,1.0,5.0,6.0,0.0,2.0,1.0,7.0,146.0,0.0,0.0,0.0,1.0,3.0,45.0,0.0,325.0
Floyd,Floyd Springs,1666.0,3.0,3.0,426.0,3.0,14.0,1.0,15.0,8.0,2.0,12.0,8.0,18.0,609.0,1.0,9.0,2.0,0.0,17.0,114.0,1.0,1266.0
Floyd,Fosters Mill,971.0,2.0,2.0,221.0,0.0,12.0,4.0,4.0,5.0,1.0,8.0,0.0,10.0,342.0,3.0,8.0,0.0,0.0,4.0,55.0,0.0,681.0
Floyd,Garden Lakes,2261.0,6.0,6.0,379.0,5.0,12.0,5.0,17.0,66.0,16.0,16.0,25.0,43.0,512.0,7.0,6.0,4.0,5.0,23.0,246.0,6.0,1405.0
Floyd,Glenwood,3635.0,2.0,11.0,620.0,7.0,40.0,5.0,32.0,52.0,20.0,26.0,19.0,59.0,904.0,12.0,17.0,7.0,5.0,38.0,356.0,8.0,2240.0
Floyd,Howell,1492.0,3.0,1.0,334.0,4.0,17.0,2.0,14.0,13.0,3.0,3.0,3.0,14.0,526.0,0.0,7.0,0.0,0.0,19.0,68.0,2.0,1033.0
Floyd,East Lindale,3398.0,7.0,6.0,597.0,8.0,30.0,7.0,24.0,63.0,19.0,15.0,27.0,43.0,879.0,8.0,17.0,3.0,0.0,35.0,335.0,5.0,2128.0
