County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Turner,Ashburn,3509.0,135.0,779.0,131.0,0.0,1045.0,279.0,639.0,227.0,1.0,1146.0,14.0,24.0,7.0,0.0,45.0,2236.0
Turner,Sycamore,1609.0,119.0,807.0,79.0,1.0,1006.0,31.0,99.0,26.0,0.0,156.0,1.0,9.0,0.0,0.0,10.0,1172.0
Turner,Rebecca,464.0,112.0,147.0,24.0,0.0,283.0,12.0,15.0,16.0,0.0,43.0,5.0,1.0,1.0,0.0,7.0,333.0
Floyd,Alto Park,3360.0,321.0,981.0,294.0,10.0,1606.0,88.0,251.0,224.0,0.0,563.0,13.0,34.0,19.0,0.0,66.0,2235.0
Floyd,Armuchee,1269.0,277.0,350.0,107.0,1.0,735.0,34.0,64.0,38.0,0.0,136.0,6.0,6.0,9.0,0.0,21.0,892.0
Floyd,Barkers,2355.0,390.0,764.0,178.0,8.0,1340.0,41.0,96.0,81.0,0.0,218.0,10.0,16.0,7.0,0.0,33.0,1591.0
Floyd,Cave Spring,1617.0,409.0,296.0,125.0,5.0,835.0,67.0,48.0,102.0,1.0,218.0,18.0,9.0,4.0,0.0,31.0,1084.0
Floyd,Chulio,1155.0,274.0,286.0,91.0,18.0,669.0,33.0,39.0,54.0,1.0,127.0,9.0,4.0,5.0,0.0,18.0,814.0
Floyd,Etowah,4946.0,579.0,1582.0,414.0,6.0,2581.0,100.0,294.0,290.0,2.0,686.0,23.0,23.0,17.0,0.0,63.0,3330.0
Floyd,Everett Springs,421.0,175.0,63.0,22.0,4.0,264.0,24.0,9.0,20.0,0.0,53.0,2.0,1.0,3.0,0.0,6.0,323.0
Floyd,Floyd Springs,1666.0,406.0,539.0,139.0,38.0,1122.0,30.0,56.0,46.0,4.0,136.0,14.0,8.0,3.0,0.0,25.0,1283.0
Floyd,Fosters Mill,971.0,272.0,256.0,62.0,2.0,592.0,20.0,26.0,30.0,0.0,76.0,10.0,4.0,5.0,0.0,19.0,687.0
Floyd,Garden Lakes,2261.0,203.0,571.0,185.0,0.0,959.0,86.0,218.0,120.0,0.0,424.0,12.0,20.0,7.0,0.0,39.0,1422.0
Floyd,Glenwood,3635.0,503.0,946.0,242.0,2.0,1693.0,109.0,208.0,185.0,2.0,504.0,21.0,30.0,20.0,0.0,71.0,2268.0
Floyd,Howell,1492.0,425.0,371.0,118.0,11.0,925.0,30.0,49.0,27.0,0.0,106.0,3.0,8.0,3.0,0.0,14.0,1045.0
Floyd,East Lindale,3398.0,427.0,910.0,259.0,1.0,1597.0,95.0,220.0,170.0,0.0,485.0,23.0,23.0,14.0,0.0,60.0,2142.0
Floyd,Mt Alto North,5096.0,225.0,1122.0,312.0,0.0,1659.0,247.0,664.0,398.0,5.0,1314.0,29.0,43.0,20.0,0.0,92.0,3065.0
Floyd,Mt Alto South,3923.0,294.0,818.0,239.0,6.0,1357.0,246.0,473.0,297.0,2.0,1018.0,16.0,28.0,16.0,0.0,60.0,2435.0
Floyd,North Carolina,1865.0,265.0,517.0,123.0,3.0,908.0,39.0,93.0,59.0,4.0,195.0,11.0,19.0,8.0,0.0,38.0,1141.0
Floyd,Riverside,826.0,146.0,192.0,46.0,4.0,388.0,45.0,58.0,29.0,0.0,132.0,5.0,6.0,1.0,0.0,12.0,532.0
Floyd,East Rome,4238.0,265.0,679.0,253.0,4.0,1201.0,182.0,543.0,360.0,2.0,1087.0,16.0,31.0,16.0,0.0,63.0,2351.0
Floyd,North Rome,3369.0,138.0,528.0,285.0,4.0,955.0,159.0,336.0,387.0,3.0,885.0,16.0,24.0,15.0,0.0,55.0,1895.0
Floyd,South Rome,1600.0,46.0,98.0,43.0,1.0,188.0,139.0,202.0,186.0,1.0,528.0,15.0,8.0,11.0,0.0,34.0,750.0
Floyd,Texas Valley,762.0,263.0,193.0,59.0,16.0,531.0,15.0,28.0,31.0,0.0,74.0,4.0,3.0,2.0,0.0,9.0,614.0
