County,Precinct,Registered Voters,Penny A. Penn (I) (Rep)_Election Day Votes,Penny A. Penn (I) (Rep)_Advanced Voting Votes,Penny A. Penn (I) (Rep)_Absentee by Mail Votes,Penny A. Penn (I) (Rep)_Provisional Votes,Penny A. Penn (I) (Rep)_Choice Total,Total Votes
Forsyth,01 Big Creek,11222.0,700.0,4605.0,1906.0,5.0,7216.0,7216.0
Forsyth,02 Brandywine,4500.0,499.0,1275.0,609.0,2.0,2385.0,2385.0
Forsyth,03 Browns Bridge,10740.0,914.0,4786.0,1337.0,3.0,7040.0,7040.0
Forsyth,04 Chestatee,6776.0,635.0,3242.0,746.0,2.0,4625.0,4625.0
Forsyth,05 Coal Mountain,7852.0,705.0,3674.0,814.0,1.0,5194.0,5194.0
Forsyth,06 Crossroads,7061.0,584.0,3355.0,604.0,1.0,4544.0,4544.0
Forsyth,07 Cumming,6281.0,425.0,2490.0,786.0,1.0,3702.0,3702.0
Forsyth,08 Mashburn,8296.0,693.0,3721.0,1216.0,2.0,5632.0,5632.0
Forsyth,10 Midway,11631.0,732.0,5864.0,1570.0,4.0,8170.0,8170.0
Forsyth,15 Heardsville,8091.0,707.0,3922.0,959.0,0.0,5588.0,5588.0
Forsyth,16 Otwell,6333.0,492.0,2812.0,906.0,3.0,4213.0,4213.0
Forsyth,19 Old Atlanta,3739.0,229.0,1747.0,501.0,0.0,2477.0,2477.0
Forsyth,21 South Forsyth,8318.0,372.0,4011.0,1294.0,3.0,5680.0,5680.0
Forsyth,25 Windermere,9714.0,618.0,4489.0,1326.0,3.0,6436.0,6436.0
Forsyth,27 Concord,9858.0,971.0,4931.0,974.0,3.0,6879.0,6879.0
Forsyth,29 Polo,11222.0,838.0,4605.0,1792.0,0.0,7235.0,7235.0
Forsyth,34 Fowler,4965.0,399.0,1981.0,700.0,1.0,3081.0,3081.0
Forsyth,35 Johns Creek,8444.0,377.0,3435.0,1451.0,1.0,5264.0,5264.0
Forsyth,36 Nichols,6989.0,429.0,3347.0,947.0,4.0,4727.0,4727.0
Forsyth,37 Sawnee,11952.0,669.0,5790.0,1581.0,4.0,8044.0,8044.0
