County,Precinct,Registered Voters,Tasha M. Mosley (I) (Dem)_Election Day Votes,Tasha M. Mosley (I) (Dem)_Advanced Voting Votes,Tasha M. Mosley (I) (Dem)_Absentee by Mail Votes,Tasha M. Mosley (I) (Dem)_Provisional Votes,Tasha M. Mosley (I) (Dem)_Choice Total,Total Votes
Clayton,Ellenwood 1,3020.0,234.0,1186.0,647.0,5.0,2072.0,2072.0
Clayton,Ellenwood 2,3273.0,258.0,1327.0,596.0,4.0,2185.0,2185.0
Clayton,Forest Park 1,3566.0,430.0,528.0,390.0,9.0,1357.0,1357.0
Clayton,Forest Park 2,2821.0,326.0,574.0,390.0,11.0,1301.0,1301.0
Clayton,Forest Park 3,2845.0,278.0,489.0,370.0,19.0,1156.0,1156.0
Clayton,Forest Park 4,1783.0,195.0,403.0,205.0,0.0,803.0,803.0
Clayton,Forest Park 5,3924.0,436.0,799.0,399.0,18.0,1652.0,1652.0
Clayton,Forest Park 6,1463.0,134.0,360.0,154.0,4.0,652.0,652.0
Clayton,Jonesboro 1,3244.0,299.0,973.0,608.0,6.0,1886.0,1886.0
Clayton,Jonesboro 2,4345.0,397.0,1290.0,749.0,9.0,2445.0,2445.0
Clayton,Jonesboro 3,4107.0,301.0,1269.0,814.0,8.0,2392.0,2392.0
Clayton,Jonesboro 4,2574.0,235.0,551.0,280.0,6.0,1072.0,1072.0
Clayton,Jonesboro 5,2064.0,264.0,569.0,330.0,0.0,1163.0,1163.0
Clayton,Jonesboro 6,2574.0,166.0,700.0,585.0,3.0,1454.0,1454.0
Clayton,Jonesboro 7,3174.0,295.0,964.0,526.0,6.0,1791.0,1791.0
Clayton,Jonesboro 8,3947.0,447.0,1036.0,374.0,4.0,1861.0,1861.0
Clayton,Jonesboro 9,1759.0,163.0,333.0,202.0,3.0,701.0,701.0
Clayton,Jonesboro 10,3398.0,356.0,704.0,423.0,5.0,1488.0,1488.0
Clayton,Jonesboro 11,3863.0,294.0,1226.0,762.0,2.0,2284.0,2284.0
Clayton,Jonesboro 12,3067.0,326.0,861.0,428.0,14.0,1629.0,1629.0
Clayton,Jonesboro 13,2140.0,256.0,688.0,379.0,4.0,1327.0,1327.0
Clayton,Jonesboro 14,4116.0,304.0,1349.0,816.0,3.0,2472.0,2472.0
Clayton,Jonesboro 15,2872.0,253.0,689.0,264.0,9.0,1215.0,1215.0
Clayton,Jonesboro 16,2560.0,322.0,562.0,345.0,5.0,1234.0,1234.0
Clayton,Jonesboro 17,3359.0,319.0,803.0,515.0,9.0,1646.0,1646.0
Clayton,Jonesboro 18,3301.0,341.0,948.0,449.0,6.0,1744.0,1744.0
Clayton,Jonesboro 19,3299.0,311.0,914.0,518.0,12.0,1755.0,1755.0
Clayton,Lake City,3217.0,285.0,844.0,387.0,10.0,1526.0,1526.0
Clayton,Lovejoy 1,4061.0,343.0,1430.0,647.0,2.0,2422.0,2422.0
Clayton,Lovejoy 2,3611.0,261.0,1138.0,489.0,9.0,1897.0,1897.0
Clayton,Lovejoy 3,1666.0,127.0,636.0,379.0,2.0,1144.0,1144.0
Clayton,Lovejoy 4,4149.0,304.0,1590.0,638.0,4.0,2536.0,2536.0
Clayton,Lovejoy 5,3451.0,317.0,1051.0,504.0,15.0,1887.0,1887.0
Clayton,Lovejoy 6,3708.0,294.0,1276.0,619.0,8.0,2197.0,2197.0
Clayton,Lovejoy 7,2779.0,253.0,825.0,224.0,6.0,1308.0,1308.0
Clayton,Morrow 1,3328.0,419.0,764.0,372.0,2.0,1557.0,1557.0
Clayton,Morrow 2,2081.0,141.0,540.0,275.0,3.0,959.0,959.0
Clayton,Morrow 3,2407.0,189.0,627.0,378.0,5.0,1199.0,1199.0
Clayton,Morrow 4,2112.0,215.0,504.0,282.0,3.0,1004.0,1004.0
Clayton,Morrow 5,3056.0,290.0,1102.0,589.0,2.0,1983.0,1983.0
Clayton,Morrow 6,3030.0,322.0,960.0,448.0,5.0,1735.0,1735.0
Clayton,Morrow 7,2142.0,282.0,477.0,251.0,7.0,1017.0,1017.0
Clayton,Morrow 8,3185.0,281.0,1132.0,546.0,10.0,1969.0,1969.0
Clayton,Morrow 9,1509.0,133.0,418.0,222.0,1.0,774.0,774.0
Clayton,Morrow 10,2342.0,176.0,840.0,290.0,3.0,1309.0,1309.0
