County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Montgomery,Ailey,431.0,66.0,155.0,22.0,0.0,243.0,22.0,35.0,31.0,0.0,88.0,331.0
Montgomery,Alston,472.0,137.0,148.0,33.0,0.0,318.0,9.0,25.0,9.0,0.0,43.0,361.0
Montgomery,Higgston,1340.0,268.0,421.0,81.0,0.0,770.0,42.0,92.0,65.0,0.0,199.0,969.0
Montgomery,Kibbee,532.0,166.0,150.0,59.0,0.0,375.0,3.0,8.0,15.0,0.0,26.0,401.0
Montgomery,Mount Vernon,1444.0,147.0,332.0,73.0,0.0,552.0,110.0,158.0,107.0,0.0,375.0,927.0
Montgomery,Tarrytown,333.0,113.0,95.0,33.0,0.0,241.0,10.0,3.0,2.0,0.0,15.0,256.0
Montgomery,Uvalda,911.0,199.0,190.0,54.0,0.0,443.0,47.0,54.0,52.0,0.0,153.0,596.0
Jeff Davis,Hazlehurst,1406.0,107.0,223.0,58.0,0.0,388.0,102.0,190.0,94.0,0.0,386.0,774.0
Jeff Davis,Altamaha 1,703.0,87.0,300.0,48.0,0.0,435.0,12.0,44.0,10.0,0.0,66.0,501.0
Jeff Davis,Altamaha 2,1249.0,322.0,479.0,81.0,0.0,882.0,16.0,20.0,7.0,0.0,43.0,925.0
Jeff Davis,Blackburn 1,870.0,99.0,219.0,41.0,0.0,359.0,25.0,52.0,35.0,0.0,112.0,471.0
Jeff Davis,Blackburn 2,722.0,173.0,250.0,57.0,0.0,480.0,5.0,13.0,7.0,0.0,25.0,505.0
Jeff Davis,Whitehead 1,988.0,99.0,323.0,66.0,0.0,488.0,30.0,71.0,38.0,0.0,139.0,627.0
Jeff Davis,Whitehead 2,642.0,184.0,202.0,45.0,0.0,431.0,13.0,10.0,9.0,0.0,32.0,463.0
Jeff Davis,Ocmulgee 1,1399.0,176.0,523.0,100.0,0.0,799.0,42.0,62.0,28.0,0.0,132.0,931.0
Jeff Davis,Ocmulgee 2,499.0,106.0,127.0,34.0,0.0,267.0,8.0,26.0,26.0,0.0,60.0,327.0
Richmond,101,896.0,124.0,130.0,74.0,1.0,329.0,63.0,139.0,117.0,2.0,321.0,650.0
Richmond,102,1278.0,58.0,72.0,41.0,0.0,171.0,124.0,157.0,181.0,3.0,465.0,636.0
Richmond,103,1428.0,7.0,17.0,16.0,0.0,40.0,157.0,285.0,272.0,2.0,716.0,756.0
Richmond,104,2976.0,34.0,55.0,43.0,0.0,132.0,413.0,507.0,565.0,6.0,1491.0,1623.0
Richmond,105,832.0,13.0,16.0,15.0,0.0,44.0,104.0,213.0,162.0,1.0,480.0,524.0
Richmond,106,1182.0,46.0,56.0,32.0,0.0,134.0,134.0,102.0,123.0,2.0,361.0,495.0
Richmond,107,1800.0,193.0,289.0,162.0,0.0,644.0,115.0,232.0,275.0,1.0,623.0,1267.0
Richmond,108,517.0,17.0,12.0,20.0,0.0,49.0,58.0,106.0,107.0,0.0,271.0,320.0
