County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Early,Arlington,911.0,101.0,119.0,35.0,0.0,255.0,124.0,125.0,156.0,0.0,405.0,660.0
Early,Blakely,3445.0,100.0,504.0,132.0,3.0,739.0,433.0,738.0,335.0,0.0,1506.0,2245.0
Early,Cedar Springs,1114.0,244.0,266.0,83.0,0.0,593.0,43.0,88.0,91.0,0.0,222.0,815.0
Early,Cuba,1180.0,157.0,278.0,41.0,0.0,476.0,76.0,158.0,120.0,0.0,354.0,830.0
Early,Urquhart,670.0,101.0,210.0,60.0,0.0,371.0,31.0,79.0,46.0,0.0,156.0,527.0
Webster,Preston 1,1705.0,112.0,461.0,103.0,0.0,676.0,164.0,291.0,244.0,0.0,699.0,1375.0
Quitman,Georgetown,1454.0,114.0,309.0,69.0,0.0,492.0,163.0,205.0,138.0,1.0,507.0,999.0
Quitman,Morris,93.0,15.0,7.0,8.0,0.0,30.0,23.0,7.0,7.0,0.0,37.0,67.0
Mitchell,Baconton,1129.0,141.0,197.0,36.0,0.0,374.0,117.0,132.0,109.0,0.0,358.0,732.0
Mitchell,Branchville,599.0,158.0,169.0,23.0,0.0,350.0,22.0,59.0,32.0,0.0,113.0,463.0
Mitchell,Camilla North,1996.0,37.0,167.0,19.0,0.0,223.0,203.0,423.0,393.0,0.0,1019.0,1242.0
Mitchell,Camilla South,3475.0,102.0,785.0,188.0,0.0,1075.0,182.0,640.0,443.0,3.0,1268.0,2343.0
Mitchell,Cotton,399.0,164.0,62.0,25.0,0.0,251.0,29.0,16.0,16.0,0.0,61.0,312.0
Mitchell,Hopeful,350.0,80.0,76.0,19.0,0.0,175.0,27.0,25.0,18.0,2.0,72.0,247.0
Mitchell,Hinsonton,134.0,68.0,16.0,3.0,0.0,87.0,10.0,5.0,8.0,0.0,23.0,110.0
Mitchell,Lester,1357.0,248.0,301.0,75.0,0.0,624.0,60.0,67.0,102.0,1.0,230.0,854.0
