County,Precinct,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total Votes
Forsyth,01 Big Creek,11222.0,544.0,3523.0,1222.0,3.0,5292.0,240.0,1937.0,1462.0,2.0,3641.0,8933.0
Forsyth,02 Brandywine,4500.0,338.0,831.0,317.0,1.0,1487.0,268.0,817.0,634.0,0.0,1719.0,3206.0
Forsyth,03 Browns Bridge,10740.0,399.0,2085.0,504.0,0.0,2988.0,124.0,595.0,351.0,1.0,1071.0,4059.0
Forsyth,07 Cumming,6281.0,330.0,2138.0,589.0,1.0,3058.0,144.0,643.0,456.0,1.0,1244.0,4302.0
Forsyth,08 Mashburn,8296.0,597.0,3256.0,957.0,1.0,4811.0,150.0,948.0,687.0,1.0,1786.0,6597.0
Forsyth,10 Midway,11631.0,609.0,4962.0,1104.0,4.0,6679.0,188.0,1621.0,1052.0,0.0,2861.0,9540.0
Forsyth,16 Otwell,6333.0,307.0,1665.0,597.0,1.0,2570.0,78.0,514.0,321.0,0.0,913.0,3483.0
Forsyth,19 Old Atlanta,3739.0,186.0,1385.0,342.0,0.0,1913.0,66.0,608.0,359.0,0.0,1033.0,2946.0
Forsyth,21 South Forsyth,8318.0,314.0,3343.0,966.0,1.0,4624.0,103.0,1129.0,843.0,2.0,2077.0,6701.0
Forsyth,25 Windermere,9714.0,490.0,3450.0,831.0,2.0,4773.0,210.0,1754.0,1016.0,1.0,2981.0,7754.0
Forsyth,29 Polo,11222.0,686.0,3739.0,1214.0,0.0,5639.0,250.0,1541.0,1259.0,0.0,3050.0,8689.0
Forsyth,34 Fowler,4965.0,326.0,1492.0,445.0,0.0,2263.0,129.0,862.0,586.0,1.0,1578.0,3841.0
Forsyth,35 Johns Creek,8444.0,271.0,2555.0,891.0,1.0,3718.0,151.0,1546.0,1219.0,0.0,2916.0,6634.0
Forsyth,36 Nichols,6989.0,343.0,2537.0,624.0,1.0,3505.0,132.0,1325.0,721.0,3.0,2181.0,5686.0
Forsyth,37 Sawnee,11952.0,486.0,4145.0,974.0,2.0,5607.0,136.0,1466.0,939.0,4.0,2545.0,8152.0
