StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,9,Baldwin,I) (Rep,Jody Hice,Absentee by Mail Votes,1371
13,9,Baldwin,I) (Rep,Jody Hice,Advanced Voting Votes,5846
13,9,Baldwin,I) (Rep,Jody Hice,Election Day Votes,1880
13,9,Baldwin,I) (Rep,Jody Hice,Provisional Votes,4
13,9,Baldwin,I) (Rep,Jody Hice,TOTAL VOTES,9101
13,9,Baldwin,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,2856
13,9,Baldwin,Dem,Tabitha Johnson-Green,Advanced Voting Votes,4298
13,9,Baldwin,Dem,Tabitha Johnson-Green,Election Day Votes,1478
13,9,Baldwin,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,9,Baldwin,Dem,Tabitha Johnson-Green,TOTAL VOTES,8633
13,13,Barrow,I) (Rep,Jody Hice,Absentee by Mail Votes,4245
13,13,Barrow,I) (Rep,Jody Hice,Advanced Voting Votes,16801
13,13,Barrow,I) (Rep,Jody Hice,Election Day Votes,5917
13,13,Barrow,I) (Rep,Jody Hice,Provisional Votes,2
13,13,Barrow,I) (Rep,Jody Hice,TOTAL VOTES,26965
13,13,Barrow,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,3370
13,13,Barrow,Dem,Tabitha Johnson-Green,Advanced Voting Votes,4908
13,13,Barrow,Dem,Tabitha Johnson-Green,Election Day Votes,1654
13,13,Barrow,Dem,Tabitha Johnson-Green,Provisional Votes,4
13,13,Barrow,Dem,Tabitha Johnson-Green,TOTAL VOTES,9936
13,35,Butts,I) (Rep,Jody Hice,Absentee by Mail Votes,1144
13,35,Butts,I) (Rep,Jody Hice,Advanced Voting Votes,6367
13,35,Butts,I) (Rep,Jody Hice,Election Day Votes,806
13,35,Butts,I) (Rep,Jody Hice,Provisional Votes,2
13,35,Butts,I) (Rep,Jody Hice,TOTAL VOTES,8319
13,35,Butts,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,920
13,35,Butts,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1822
13,35,Butts,Dem,Tabitha Johnson-Green,Election Day Votes,368
13,35,Butts,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,35,Butts,Dem,Tabitha Johnson-Green,TOTAL VOTES,3111
13,59,Clarke,I) (Rep,Jody Hice,Absentee by Mail Votes,4122
13,59,Clarke,I) (Rep,Jody Hice,Advanced Voting Votes,6889
13,59,Clarke,I) (Rep,Jody Hice,Election Day Votes,3111
13,59,Clarke,I) (Rep,Jody Hice,Provisional Votes,15
13,59,Clarke,I) (Rep,Jody Hice,TOTAL VOTES,14137
13,59,Clarke,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,12069
13,59,Clarke,Dem,Tabitha Johnson-Green,Advanced Voting Votes,13905
13,59,Clarke,Dem,Tabitha Johnson-Green,Election Day Votes,4082
13,59,Clarke,Dem,Tabitha Johnson-Green,Provisional Votes,25
13,59,Clarke,Dem,Tabitha Johnson-Green,TOTAL VOTES,30081
13,73,Columbia,I) (Rep,Jody Hice,Absentee by Mail Votes,901
13,73,Columbia,I) (Rep,Jody Hice,Advanced Voting Votes,4878
13,73,Columbia,I) (Rep,Jody Hice,Election Day Votes,2550
13,73,Columbia,I) (Rep,Jody Hice,Provisional Votes,10
13,73,Columbia,I) (Rep,Jody Hice,TOTAL VOTES,8339
13,73,Columbia,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,980
13,73,Columbia,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1504
13,73,Columbia,Dem,Tabitha Johnson-Green,Election Day Votes,548
13,73,Columbia,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,73,Columbia,Dem,Tabitha Johnson-Green,TOTAL VOTES,3033
13,125,Glascock,I) (Rep,Jody Hice,Absentee by Mail Votes,197
13,125,Glascock,I) (Rep,Jody Hice,Advanced Voting Votes,764
13,125,Glascock,I) (Rep,Jody Hice,Election Day Votes,392
13,125,Glascock,I) (Rep,Jody Hice,Provisional Votes,0
13,125,Glascock,I) (Rep,Jody Hice,TOTAL VOTES,1353
13,125,Glascock,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,52
13,125,Glascock,Dem,Tabitha Johnson-Green,Advanced Voting Votes,55
13,125,Glascock,Dem,Tabitha Johnson-Green,Election Day Votes,37
13,125,Glascock,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,125,Glascock,Dem,Tabitha Johnson-Green,TOTAL VOTES,144
13,133,Greene,I) (Rep,Jody Hice,Absentee by Mail Votes,1407
13,133,Greene,I) (Rep,Jody Hice,Advanced Voting Votes,5099
13,133,Greene,I) (Rep,Jody Hice,Election Day Votes,870
13,133,Greene,I) (Rep,Jody Hice,Provisional Votes,3
13,133,Greene,I) (Rep,Jody Hice,TOTAL VOTES,7379
13,133,Greene,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1351
13,133,Greene,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1778
13,133,Greene,Dem,Tabitha Johnson-Green,Election Day Votes,541
13,133,Greene,Dem,Tabitha Johnson-Green,Provisional Votes,7
13,133,Greene,Dem,Tabitha Johnson-Green,TOTAL VOTES,3677
13,135,Gwinnett,I) (Rep,Jody Hice,Absentee by Mail Votes,4476
13,135,Gwinnett,I) (Rep,Jody Hice,Advanced Voting Votes,14460
13,135,Gwinnett,I) (Rep,Jody Hice,Election Day Votes,4340
13,135,Gwinnett,I) (Rep,Jody Hice,Provisional Votes,7
13,135,Gwinnett,I) (Rep,Jody Hice,TOTAL VOTES,23283
13,135,Gwinnett,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,6124
13,135,Gwinnett,Dem,Tabitha Johnson-Green,Advanced Voting Votes,10737
13,135,Gwinnett,Dem,Tabitha Johnson-Green,Election Day Votes,2491
13,135,Gwinnett,Dem,Tabitha Johnson-Green,Provisional Votes,9
13,135,Gwinnett,Dem,Tabitha Johnson-Green,TOTAL VOTES,19361
13,141,Hancock,I) (Rep,Jody Hice,Absentee by Mail Votes,257
13,141,Hancock,I) (Rep,Jody Hice,Advanced Voting Votes,634
13,141,Hancock,I) (Rep,Jody Hice,Election Day Votes,271
13,141,Hancock,I) (Rep,Jody Hice,Provisional Votes,0
13,141,Hancock,I) (Rep,Jody Hice,TOTAL VOTES,1162
13,141,Hancock,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1162
13,141,Hancock,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1059
13,141,Hancock,Dem,Tabitha Johnson-Green,Election Day Votes,591
13,141,Hancock,Dem,Tabitha Johnson-Green,Provisional Votes,3
13,141,Hancock,Dem,Tabitha Johnson-Green,TOTAL VOTES,2815
13,151,Henry,I) (Rep,Jody Hice,Absentee by Mail Votes,2433
13,151,Henry,I) (Rep,Jody Hice,Advanced Voting Votes,11581
13,151,Henry,I) (Rep,Jody Hice,Election Day Votes,3998
13,151,Henry,I) (Rep,Jody Hice,Provisional Votes,3
13,151,Henry,I) (Rep,Jody Hice,TOTAL VOTES,18015
13,151,Henry,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,3082
13,151,Henry,Dem,Tabitha Johnson-Green,Advanced Voting Votes,6071
13,151,Henry,Dem,Tabitha Johnson-Green,Election Day Votes,1426
13,151,Henry,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,151,Henry,Dem,Tabitha Johnson-Green,TOTAL VOTES,10580
13,159,Jasper,I) (Rep,Jody Hice,Absentee by Mail Votes,842
13,159,Jasper,I) (Rep,Jody Hice,Advanced Voting Votes,3438
13,159,Jasper,I) (Rep,Jody Hice,Election Day Votes,1524
13,159,Jasper,I) (Rep,Jody Hice,Provisional Votes,11
13,159,Jasper,I) (Rep,Jody Hice,TOTAL VOTES,5815
13,159,Jasper,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,629
13,159,Jasper,Dem,Tabitha Johnson-Green,Advanced Voting Votes,728
13,159,Jasper,Dem,Tabitha Johnson-Green,Election Day Votes,287
13,159,Jasper,Dem,Tabitha Johnson-Green,Provisional Votes,2
13,159,Jasper,Dem,Tabitha Johnson-Green,TOTAL VOTES,1646
13,163,Jefferson,I) (Rep,Jody Hice,Absentee by Mail Votes,454
13,163,Jefferson,I) (Rep,Jody Hice,Advanced Voting Votes,1950
13,163,Jefferson,I) (Rep,Jody Hice,Election Day Votes,1073
13,163,Jefferson,I) (Rep,Jody Hice,Provisional Votes,4
13,163,Jefferson,I) (Rep,Jody Hice,TOTAL VOTES,3481
13,163,Jefferson,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1204
13,163,Jefferson,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1614
