StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,1,Appling,Rep,A. Wayne Johnson,Absentee by Mail Votes,1
13,1,Appling,Rep,A. Wayne Johnson,Advanced Voting Votes,41
13,1,Appling,Rep,A. Wayne Johnson,Election Day Votes,22
13,1,Appling,Rep,A. Wayne Johnson,Provisional Votes,0
13,1,Appling,Rep,A. Wayne Johnson,TOTAL VOTES,64
13,1,Appling,Ind,Al Bartell,Absentee by Mail Votes,3
13,1,Appling,Ind,Al Bartell,Advanced Voting Votes,8
13,1,Appling,Ind,Al Bartell,Election Day Votes,8
13,1,Appling,Ind,Al Bartell,Provisional Votes,0
13,1,Appling,Ind,Al Bartell,TOTAL VOTES,19
13,1,Appling,Ind,Allen Buckley,Absentee by Mail Votes,9
13,1,Appling,Ind,Allen Buckley,Advanced Voting Votes,7
13,1,Appling,Ind,Allen Buckley,Election Day Votes,5
13,1,Appling,Ind,Allen Buckley,Provisional Votes,0
13,1,Appling,Ind,Allen Buckley,TOTAL VOTES,21
13,1,Appling,Rep,Annette Davis Jackson,Absentee by Mail Votes,7
13,1,Appling,Rep,Annette Davis Jackson,Advanced Voting Votes,25
13,1,Appling,Rep,Annette Davis Jackson,Election Day Votes,19
13,1,Appling,Rep,Annette Davis Jackson,Provisional Votes,0
13,1,Appling,Rep,Annette Davis Jackson,TOTAL VOTES,51
13,1,Appling,Lib,Brian Slowinski,Absentee by Mail Votes,2
13,1,Appling,Lib,Brian Slowinski,Advanced Voting Votes,15
13,1,Appling,Lib,Brian Slowinski,Election Day Votes,6
13,1,Appling,Lib,Brian Slowinski,Provisional Votes,0
13,1,Appling,Lib,Brian Slowinski,TOTAL VOTES,23
13,1,Appling,Dem,Deborah Jackson,Absentee by Mail Votes,86
13,1,Appling,Dem,Deborah Jackson,Advanced Voting Votes,162
13,1,Appling,Dem,Deborah Jackson,Election Day Votes,58
13,1,Appling,Dem,Deborah Jackson,Provisional Votes,0
13,1,Appling,Dem,Deborah Jackson,TOTAL VOTES,306
13,1,Appling,Rep,Derrick E. Grayson,Absentee by Mail Votes,12
