StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,53,Chattahoochee,I) (Dem,Ed Harbison,Absentee by Mail Votes,217
13,53,Chattahoochee,I) (Dem,Ed Harbison,Advanced Voting Votes,528
13,53,Chattahoochee,I) (Dem,Ed Harbison,Election Day Votes,279
13,53,Chattahoochee,I) (Dem,Ed Harbison,Provisional Votes,0
13,53,Chattahoochee,I) (Dem,Ed Harbison,TOTAL VOTES,1024
13,193,Macon,I) (Dem,Ed Harbison,Absentee by Mail Votes,697
13,193,Macon,I) (Dem,Ed Harbison,Advanced Voting Votes,1801
13,193,Macon,I) (Dem,Ed Harbison,Election Day Votes,790
13,193,Macon,I) (Dem,Ed Harbison,Provisional Votes,0
13,193,Macon,I) (Dem,Ed Harbison,TOTAL VOTES,3288
13,197,Marion,I) (Dem,Ed Harbison,Absentee by Mail Votes,599
13,197,Marion,I) (Dem,Ed Harbison,Advanced Voting Votes,1212
13,197,Marion,I) (Dem,Ed Harbison,Election Day Votes,594
13,197,Marion,I) (Dem,Ed Harbison,Provisional Votes,0
13,197,Marion,I) (Dem,Ed Harbison,TOTAL VOTES,2405
13,215,Muscogee,I) (Dem,Ed Harbison,Absentee by Mail Votes,12019
13,215,Muscogee,I) (Dem,Ed Harbison,Advanced Voting Votes,18623
13,215,Muscogee,I) (Dem,Ed Harbison,Election Day Votes,5283
13,215,Muscogee,I) (Dem,Ed Harbison,Provisional Votes,23
13,215,Muscogee,I) (Dem,Ed Harbison,TOTAL VOTES,35948
13,249,Schley,I) (Dem,Ed Harbison,Absentee by Mail Votes,204
13,249,Schley,I) (Dem,Ed Harbison,Advanced Voting Votes,765
13,249,Schley,I) (Dem,Ed Harbison,Election Day Votes,217
13,249,Schley,I) (Dem,Ed Harbison,Provisional Votes,1
13,249,Schley,I) (Dem,Ed Harbison,TOTAL VOTES,1187
13,263,Talbot,I) (Dem,Ed Harbison,Absentee by Mail Votes,968
13,263,Talbot,I) (Dem,Ed Harbison,Advanced Voting Votes,891
13,263,Talbot,I) (Dem,Ed Harbison,Election Day Votes,761
13,263,Talbot,I) (Dem,Ed Harbison,Provisional Votes,1
13,263,Talbot,I) (Dem,Ed Harbison,TOTAL VOTES,2621
13,269,Taylor,I) (Dem,Ed Harbison,Absentee by Mail Votes,575
13,269,Taylor,I) (Dem,Ed Harbison,Advanced Voting Votes,1472
13,269,Taylor,I) (Dem,Ed Harbison,Election Day Votes,430
13,269,Taylor,I) (Dem,Ed Harbison,Provisional Votes,7
13,269,Taylor,I) (Dem,Ed Harbison,TOTAL VOTES,2484
