StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,67,Cobb,Rep,Karen Handel,Absentee by Mail Votes,19830
13,67,Cobb,Rep,Karen Handel,Advanced Voting Votes,24179
13,67,Cobb,Rep,Karen Handel,Election Day Votes,14493
13,67,Cobb,Rep,Karen Handel,Provisional Votes,38
13,67,Cobb,Rep,Karen Handel,TOTAL VOTES,58540
13,67,Cobb,I) (Dem,Lucy McBath,Absentee by Mail Votes,28567
13,67,Cobb,I) (Dem,Lucy McBath,Advanced Voting Votes,19626
13,67,Cobb,I) (Dem,Lucy McBath,Election Day Votes,7329
13,67,Cobb,I) (Dem,Lucy McBath,Provisional Votes,31
13,67,Cobb,I) (Dem,Lucy McBath,TOTAL VOTES,55553
13,89,DeKalb,Rep,Karen Handel,Absentee by Mail Votes,8146
13,89,DeKalb,Rep,Karen Handel,Advanced Voting Votes,17930
13,89,DeKalb,Rep,Karen Handel,Election Day Votes,5797
13,89,DeKalb,Rep,Karen Handel,Provisional Votes,65
13,89,DeKalb,Rep,Karen Handel,TOTAL VOTES,31938
13,89,DeKalb,I) (Dem,Lucy McBath,Absentee by Mail Votes,20327
13,89,DeKalb,I) (Dem,Lucy McBath,Advanced Voting Votes,29631
13,89,DeKalb,I) (Dem,Lucy McBath,Election Day Votes,5530
13,89,DeKalb,I) (Dem,Lucy McBath,Provisional Votes,115
13,89,DeKalb,I) (Dem,Lucy McBath,TOTAL VOTES,55603
13,121,Fulton,Rep,Karen Handel,Absentee by Mail Votes,19768
13,121,Fulton,Rep,Karen Handel,Advanced Voting Votes,58034
13,121,Fulton,Rep,Karen Handel,Election Day Votes,11354
13,121,Fulton,Rep,Karen Handel,Provisional Votes,477
13,121,Fulton,Rep,Karen Handel,TOTAL VOTES,89633
13,121,Fulton,I) (Dem,Lucy McBath,Absentee by Mail Votes,35999
13,121,Fulton,I) (Dem,Lucy McBath,Advanced Voting Votes,60468
13,121,Fulton,I) (Dem,Lucy McBath,Election Day Votes,8413
13,121,Fulton,I) (Dem,Lucy McBath,Provisional Votes,541
13,121,Fulton,I) (Dem,Lucy McBath,TOTAL VOTES,105421
