index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,35,107,31,0,173,92,280,185,0,557,7,10,2,0,19,749,
1,Baldwin,City Hall Annex,957,39,75,40,0,154,60,138,105,1,304,4,6,1,0,11,469,
2,Baldwin,Boddie,1381,35,75,21,0,131,128,225,157,0,510,8,8,5,0,21,662,
3,Baldwin,Courthouse,506,25,67,11,0,103,25,71,59,0,155,5,8,2,0,15,273,
4,Baldwin,Fire Dept,1481,35,135,31,0,201,87,335,245,0,667,11,14,7,0,32,900,
5,Baldwin,North Milledgeville,2211,131,513,153,1,798,123,423,226,0,772,14,28,9,0,51,1621,
6,Baldwin,Meriweather,2832,247,884,214,0,1345,109,430,215,0,754,17,32,7,0,56,2155,
7,Baldwin,East Baldwin,3826,265,1037,230,0,1532,169,601,310,0,1080,14,33,10,0,57,2669,
8,Baldwin,Scottsboro,1101,124,211,42,3,380,56,120,97,0,273,6,13,0,0,19,672,
9,Baldwin,North Baldwin,3515,304,1309,255,0,1868,75,378,269,0,722,15,40,11,0,66,2656,
10,Baldwin,West Baldwin,1862,175,448,96,0,719,94,281,186,0,561,5,15,8,0,28,1308,
11,Baldwin,East Hardwick,1313,40,59,26,0,125,117,203,170,0,490,11,6,6,0,23,638,
12,Baldwin,West Hardwick,2903,63,251,71,0,385,245,606,475,0,1326,11,22,6,0,39,1750,
13,Baldwin,Coopers,1574,257,405,70,0,732,59,136,100,0,295,12,16,3,0,31,1058,
