index,County,Precinct,Registered Voters,Cathy Freeman Settle (I) (Ind)_Election Day Votes,Cathy Freeman Settle (I) (Ind)_Advanced Voting Votes,Cathy Freeman Settle (I) (Ind)_Absentee by Mail Votes,Cathy Freeman Settle (I) (Ind)_Provisional Votes,Cathy Freeman Settle (I) (Ind)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,113,350,183,0,646,646,
1,Baldwin,City Hall Annex,957,92,198,127,1,418,418,
2,Baldwin,Boddie,1381,146,272,138,0,556,556,
3,Baldwin,Courthouse,506,53,128,62,0,243,243,
4,Baldwin,Fire Dept,1481,112,433,226,0,771,771,
5,Baldwin,North Milledgeville,2211,234,878,329,1,1442,1442,
6,Baldwin,Meriweather,2832,331,1242,378,0,1951,1951,
7,Baldwin,East Baldwin,3826,413,1551,466,0,2430,2430,
8,Baldwin,Scottsboro,1101,160,313,119,1,593,593,
9,Baldwin,North Baldwin,3515,356,1592,449,0,2397,2397,
10,Baldwin,West Baldwin,1862,256,664,254,0,1174,1174,
11,Baldwin,East Hardwick,1313,150,230,153,0,533,533,
12,Baldwin,West Hardwick,2903,288,784,468,0,1540,1540,
13,Baldwin,Coopers,1574,305,511,162,0,978,978,
