index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Bartow,Adairsville,6995,772,2374,505,1,3652,127,397,295,1,820,52,86,37,0,175,4647,
1,Bartow,Allatoona,4729,509,1100,245,0,1854,117,264,258,0,639,51,53,23,0,127,2620,
2,Bartow,Cartersville East,6805,510,1670,531,0,2711,263,620,524,0,1407,50,79,27,0,156,4274,
3,Bartow,Cartersville West,8129,549,2696,744,0,3989,196,755,548,1,1500,45,116,50,0,211,5700,
4,Bartow,Cassville,4588,388,1210,554,2,2154,128,374,449,2,953,40,52,35,1,128,3235,
5,Bartow,Center,4007,640,1208,380,2,2230,94,232,190,0,516,42,40,25,0,107,2853,
6,Bartow,Emerson,3122,556,715,246,1,1518,88,133,159,0,380,34,29,11,0,74,1972,
7,Bartow,Euharlee,5322,816,1596,328,1,2741,159,340,296,0,795,39,72,22,0,133,3669,
8,Bartow,Folsom,1448,392,351,114,0,857,26,42,36,0,104,15,9,4,0,28,989,
9,Bartow,Hamilton Crossing,6598,690,2091,345,0,3126,153,462,221,1,837,32,65,23,0,120,4083,
10,Bartow,Kingston,2674,606,657,231,0,1494,85,93,87,0,265,31,21,2,0,54,1813,
11,Bartow,Mission Road,4012,413,1230,312,3,1958,91,329,256,0,676,24,41,15,1,81,2715,
12,Bartow,Pine Log,2132,609,493,194,1,1297,52,58,56,0,166,33,17,13,0,63,1526,
13,Bartow,Taylorsville,2829,764,781,242,0,1787,48,62,61,0,171,27,17,17,0,61,2019,
14,Bartow,White,2723,629,733,232,1,1595,64,88,85,0,237,30,25,15,0,70,1902,
15,Bartow,Zena Drive,6431,474,1362,448,4,2288,248,585,393,2,1228,40,58,19,1,118,3634,
16,Bartow,Woodland,1865,294,470,150,1,915,44,125,111,0,280,20,20,12,0,52,1247,
