index,County,Precinct,Registered Voters,Clark Millsap (I) (Rep)_Election Day Votes,Clark Millsap (I) (Rep)_Advanced Voting Votes,Clark Millsap (I) (Rep)_Absentee by Mail Votes,Clark Millsap (I) (Rep)_Provisional Votes,Clark Millsap (I) (Rep)_Choice Total,Total,
0,Bartow,Adairsville,6995,886,2640,630,1,4157,4157,
1,Bartow,Allatoona,4729,616,1292,374,0,2282,2282,
2,Bartow,Cartersville East,6805,712,2065,796,0,3573,3573,
3,Bartow,Cartersville West,8129,708,3162,1045,1,4916,4916,
4,Bartow,Cassville,4588,505,1444,791,3,2743,2743,
5,Bartow,Center,4007,736,1367,484,2,2589,2589,
6,Bartow,Emerson,3122,628,801,322,1,1752,1752,
7,Bartow,Euharlee,5322,935,1830,482,1,3248,3248,
8,Bartow,Folsom,1448,411,378,132,0,921,921,
9,Bartow,Hamilton Crossing,6598,783,2365,455,1,3604,3604,
10,Bartow,Kingston,2674,676,712,284,0,1672,1672,
11,Bartow,Mission Road,4012,484,1405,447,3,2339,2339,
12,Bartow,Pine Log,2132,660,535,222,0,1417,1417,
13,Bartow,Taylorsville,2829,803,806,286,0,1895,1895,
14,Bartow,White,2723,680,781,268,1,1730,1730,
15,Bartow,Zena Drive,6431,658,1721,615,5,2999,2999,
16,Bartow,Woodland,1865,333,555,219,1,1108,1108,
