index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Bibb,East Macon 1,2108,12,11,14,1,38,220,354,313,4,891,10,8,5,1,24,953,
1,Bibb,East Macon 2,3932,46,63,46,0,155,417,944,727,7,2095,13,15,5,0,33,2283,
2,Bibb,East Macon 3,3494,117,295,143,1,556,279,670,502,6,1457,21,32,11,0,64,2077,
3,Bibb,East Macon 4,2280,34,34,20,1,89,332,478,456,5,1271,5,6,1,0,12,1372,
4,Bibb,East Macon 5,2552,109,155,90,0,354,238,549,432,2,1221,10,13,8,0,31,1606,
5,Bibb,Godfrey 1,6283,96,187,49,1,333,508,1329,959,5,2801,26,37,21,1,85,3219,
6,Bibb,Godfrey 2,2158,28,39,15,0,82,197,318,246,1,762,6,10,7,0,23,867,
7,Bibb,Godfrey 3,3292,48,82,38,0,168,351,674,431,6,1462,16,16,6,0,38,1668,
8,Bibb,Godfrey 4,2231,41,63,28,0,132,226,306,244,2,778,7,4,8,0,19,929,
9,Bibb,Godfrey 5,4761,88,111,91,0,290,574,1052,611,4,2241,32,18,15,0,65,2596,
10,Bibb,Hazzard 1,3377,49,93,73,1,216,427,703,471,4,1605,13,17,9,0,39,1860,
11,Bibb,Hazzard 2,4173,473,498,210,3,1184,358,765,394,3,1520,36,24,16,1,77,2781,
12,Bibb,Hazzard 3,7068,248,634,241,5,1128,526,1637,981,10,3154,36,49,22,2,109,4391,
13,Bibb,Hazzard 4,4745,545,1150,404,2,2101,248,740,506,3,1497,34,38,18,0,90,3688,
14,Bibb,Howard 1,3436,358,924,483,1,1766,124,380,317,3,824,22,24,17,0,63,2653,
15,Bibb,Howard 2,3394,409,910,424,1,1744,113,407,306,3,829,18,21,15,1,55,2628,
16,Bibb,Howard 3,6397,552,1332,550,1,2435,325,1015,657,3,2000,36,56,35,0,127,4562,
17,Bibb,Howard 4,1711,125,326,118,0,569,100,297,187,1,585,19,18,8,0,45,1199,
18,Bibb,Howard 5,2272,170,252,99,1,522,201,439,197,3,840,27,22,7,0,56,1418,
19,Bibb,Howard 6,2213,196,500,197,4,897,114,338,196,7,655,14,25,11,0,50,1602,
20,Bibb,Howard 7,2897,373,775,297,1,1446,107,318,305,2,732,21,35,14,0,70,2248,
21,Bibb,Rutland 1,5704,883,1095,484,1,2463,259,929,509,3,1700,35,28,13,0,76,4239,
22,Bibb,Rutland 2,3409,657,619,227,1,1504,172,427,232,4,835,22,17,14,0,53,2392,
23,Bibb,Vineville 1,3572,178,345,155,3,681,241,640,471,2,1354,29,41,23,0,93,2128,
24,Bibb,Vineville 2,2067,104,149,56,1,310,186,343,341,0,870,10,10,6,0,26,1206,
25,Bibb,Vineville 3,3127,24,67,45,1,137,305,724,512,5,1546,11,12,4,0,27,1710,
26,Bibb,Vineville 4,4097,81,149,51,0,281,482,856,595,8,1941,16,23,10,0,49,2271,
27,Bibb,Vineville 5,2359,207,508,222,0,937,126,355,230,2,713,18,30,10,0,58,1708,
28,Bibb,Vineville 6,3021,285,465,239,2,991,166,461,365,4,996,38,24,14,0,76,2063,
29,Bibb,Warrior 1,2617,598,475,177,2,1252,114,282,231,2,629,18,15,3,0,36,1917,
30,Bibb,Warrior 2,3232,563,762,181,3,1509,97,441,305,3,846,14,24,11,0,49,2404,
