index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Bryan,Pembroke,2653,226,709,115,0,1050,101,298,102,0,501,17,16,10,0,43,1594,
1,Bryan,Danielsiding,2291,229,800,155,0,1184,40,191,148,0,379,20,40,12,0,72,1635,
2,Bryan,Ellabell,2341,356,768,125,1,1250,62,126,79,0,267,13,17,10,0,40,1557,
3,Bryan,Black Creek,2995,328,880,154,1,1363,77,180,95,0,352,23,20,13,0,56,1771,
4,Bryan,Ways Station,1974,171,449,73,1,694,56,248,176,1,481,13,25,12,0,50,1225,
5,Bryan,RH Rec Complex,3264,204,781,127,1,1113,102,444,258,0,804,20,45,19,0,84,2001,
6,Bryan,JF Gregory Park,2885,151,1281,213,0,1645,27,268,162,0,457,14,54,10,0,78,2180,
7,Bryan,Keller,4270,302,1689,217,0,2208,79,505,290,0,874,23,71,27,0,121,3203,
8,Bryan,Hwy 144 East,5365,315,1850,339,0,2504,89,770,349,1,1209,32,81,35,0,148,3861,
9,Bryan,Public Safety Complex,2570,193,613,96,0,902,88,336,173,1,598,23,40,5,0,68,1568,
