index,County,Precinct,Registered Voters,Carrol Ann Coleman (I) (Rep)_Election Day Votes,Carrol Ann Coleman (I) (Rep)_Advanced Voting Votes,Carrol Ann Coleman (I) (Rep)_Absentee by Mail Votes,Carrol Ann Coleman (I) (Rep)_Provisional Votes,Carrol Ann Coleman (I) (Rep)_Choice Total,Total,
0,Bryan,Pembroke,2653,300,896,173,0,1369,1369,
1,Bryan,Danielsiding,2291,266,935,226,0,1427,1427,
2,Bryan,Ellabell,2341,414,877,161,1,1453,1453,
3,Bryan,Black Creek,2995,400,1005,197,1,1603,1603,
4,Bryan,Ways Station,1974,220,615,159,1,995,995,
5,Bryan,RH Rec Complex,3264,289,1077,263,1,1630,1630,
6,Bryan,JF Gregory Park,2885,181,1469,289,0,1939,1939,
7,Bryan,Keller,4270,377,2031,367,0,2775,2775,
8,Bryan,Hwy 144 East,5365,398,2341,519,1,3259,3259,
9,Bryan,Public Safety Complex,2570,265,819,185,1,1270,1270,
