index,County,Precinct,Registered Voters,Jake A. Futch (I) (Rep)_Election Day Votes,Jake A. Futch (I) (Rep)_Advanced Voting Votes,Jake A. Futch (I) (Rep)_Absentee by Mail Votes,Jake A. Futch (I) (Rep)_Provisional Votes,Jake A. Futch (I) (Rep)_Choice Total,Jonathan Paine (Dem)_Election Day Votes,Jonathan Paine (Dem)_Advanced Voting Votes,Jonathan Paine (Dem)_Absentee by Mail Votes,Jonathan Paine (Dem)_Provisional Votes,Jonathan Paine (Dem)_Choice Total,Total,
0,Bulloch,Lockhart,720,245,115,33,1,394,39,45,51,0,135,529,
1,Bulloch,Emit,3360,571,878,284,1,1734,129,317,192,1,639,2373,
2,Bulloch,Statesboro,6312,423,1213,438,4,2078,377,906,545,9,1837,3915,
3,Bulloch,Portal,1735,436,283,132,0,851,93,97,95,0,285,1136,
4,Bulloch,Fair,6335,525,1747,541,8,2821,234,780,416,1,1431,4252,
5,Bulloch,Church,5793,412,1115,473,2,2002,346,781,581,5,1713,3715,
6,Bulloch,Pittman Park,5279,329,608,210,0,1147,418,836,296,3,1553,2700,
7,Bulloch,Leefield,1000,371,206,72,1,650,28,37,25,0,90,740,
8,Bulloch,Blitch,1947,444,525,182,2,1153,68,164,133,1,366,1519,
9,Bulloch,Hagin,2403,457,489,176,3,1125,125,201,178,1,505,1630,
10,Bulloch,Brooklet,3351,685,987,274,2,1948,116,239,133,2,490,2438,
11,Bulloch,Stilson,2137,621,437,155,1,1214,53,74,62,0,189,1403,
12,Bulloch,Bay,1610,538,357,126,0,1021,53,56,50,0,159,1180,
13,Bulloch,Nevils,1299,386,265,112,1,764,46,49,46,0,141,905,
14,Bulloch,Sinkhole,488,192,71,51,0,314,18,6,16,0,40,354,
15,Bulloch,Register,969,224,148,65,2,439,68,73,58,0,199,638,
