index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Bulloch,Lockhart,720,231,108,32,1,372,43,48,49,0,140,7,2,4,0,13,525,
1,Bulloch,Emit,3360,536,842,240,1,1619,120,320,216,1,657,36,40,20,0,96,2372,
2,Bulloch,Statesboro,6312,391,1152,365,3,1911,370,867,588,11,1836,50,85,34,0,169,3916,
3,Bulloch,Portal,1735,420,283,118,0,821,90,89,103,0,282,10,8,9,0,27,1130,
4,Bulloch,Fair,6335,478,1658,463,6,2605,223,779,477,5,1484,48,85,29,0,162,4251,
5,Bulloch,Church,5793,375,1012,373,0,1760,343,796,643,7,1789,41,65,31,1,138,3687,
6,Bulloch,Pittman Park,5279,311,548,178,0,1037,370,831,314,3,1518,72,79,19,0,170,2725,
7,Bulloch,Leefield,1000,342,198,67,1,608,32,34,25,0,91,14,10,8,1,33,732,
8,Bulloch,Blitch,1947,440,507,174,2,1123,54,154,134,1,343,12,21,9,0,42,1508,
9,Bulloch,Hagin,2403,434,469,153,3,1059,121,203,201,1,526,25,21,6,0,52,1637,
10,Bulloch,Brooklet,3351,663,945,250,2,1860,101,240,146,2,489,33,36,12,0,81,2430,
11,Bulloch,Stilson,2137,612,420,133,1,1166,52,79,78,0,209,11,10,11,0,32,1407,
12,Bulloch,Bay,1610,510,340,105,0,955,63,61,63,0,187,17,9,9,0,35,1177,
13,Bulloch,Nevils,1299,372,257,103,1,733,41,48,45,0,134,12,9,6,0,27,894,
14,Bulloch,Sinkhole,488,188,67,44,0,299,19,11,20,0,50,2,1,2,0,5,354,
15,Bulloch,Register,969,206,141,54,2,403,61,74,63,0,198,16,5,3,0,24,625,
