index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Burke,Alexander,389,84,60,14,0,158,27,20,66,0,113,0,0,1,0,1,272,
1,Burke,Four Points,2558,452,497,137,0,1086,131,216,156,0,503,3,5,2,0,10,1599,
2,Burke,Girard,733,110,81,41,0,232,100,57,85,0,242,2,1,0,0,3,477,
3,Burke,Gough,434,39,61,16,0,116,48,40,101,0,189,2,0,0,0,2,307,
4,Burke,Greenscut,1036,152,222,38,0,412,82,97,92,0,271,1,2,1,0,4,687,
5,Burke,Keysville,476,63,42,14,0,119,97,11,33,0,141,3,0,0,0,3,263,
6,Burke,Midville,492,91,20,11,0,122,93,25,63,0,181,0,0,2,0,2,305,
7,Burke,Munnerlyn,299,64,48,4,0,116,23,28,30,0,81,1,1,0,0,2,199,
8,Burke,Sardis,1049,211,124,57,0,392,127,77,53,0,257,3,1,0,0,4,653,
9,Burke,Scotts Crossroads,294,42,16,5,0,63,38,44,46,0,128,0,0,0,0,0,191,
10,Burke,Telfair,1121,152,174,52,0,378,68,126,121,0,315,3,2,1,0,6,699,
11,Burke,St Clair,442,68,82,23,0,173,42,39,62,0,143,0,0,0,0,0,316,
12,Burke,Vidette,313,72,25,8,0,105,41,17,47,0,105,1,0,1,0,2,212,
13,Burke,North Waynesboro,2949,79,336,67,0,482,290,501,505,0,1296,3,5,1,0,9,1787,
14,Burke,South Waynesboro,3290,233,896,152,0,1281,213,461,333,0,1007,3,18,5,0,26,2314,
15,Burke,Blakeney,681,37,118,10,0,165,70,93,74,0,237,0,1,0,0,1,403,
