index,County,Precinct,Registered Voters,Rex T. Myers (I) (Rep)_Election Day Votes,Rex T. Myers (I) (Rep)_Advanced Voting Votes,Rex T. Myers (I) (Rep)_Absentee by Mail Votes,Rex T. Myers (I) (Rep)_Provisional Votes,Rex T. Myers (I) (Rep)_Choice Total,"Ashley Moore, Jr. (Dem)_Election Day Votes","Ashley Moore, Jr. (Dem)_Advanced Voting Votes","Ashley Moore, Jr. (Dem)_Absentee by Mail Votes","Ashley Moore, Jr. (Dem)_Provisional Votes","Ashley Moore, Jr. (Dem)_Choice Total",Total,
0,Burke,Alexander,389,82,56,16,0,154,28,21,65,0,114,268,
1,Burke,Four Points,2558,424,479,138,0,1041,139,236,148,0,523,1564,
2,Burke,Girard,733,108,79,40,0,227,96,58,83,0,237,464,
3,Burke,Gough,434,41,60,20,0,121,47,41,92,0,180,301,
4,Burke,Greenscut,1036,137,219,44,0,400,86,95,85,0,266,666,
5,Burke,Keysville,476,58,40,15,0,113,101,13,32,0,146,259,
6,Burke,Midville,492,90,20,11,0,121,86,25,63,0,174,295,
7,Burke,Munnerlyn,299,58,48,5,0,111,25,27,27,0,79,190,
8,Burke,Sardis,1049,198,121,55,0,374,134,77,53,0,264,638,
9,Burke,Scotts Crossroads,294,39,17,5,0,61,37,41,44,0,122,183,
10,Burke,Telfair,1121,150,170,52,0,372,71,128,121,0,320,692,
11,Burke,St Clair,442,69,82,24,0,175,38,37,58,0,133,308,
12,Burke,Vidette,313,72,24,11,0,107,37,16,44,0,97,204,
13,Burke,North Waynesboro,2949,71,316,79,0,466,291,512,485,0,1288,1754,
14,Burke,South Waynesboro,3290,201,847,167,0,1215,239,507,310,0,1056,2271,
15,Burke,Blakeney,681,33,115,9,0,157,72,92,70,0,234,391,
