index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Burke,Alexander,389,0,0,0,0,0,0,0,0,0,0,20,23,2,0,45,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,2,3,1,4,0,8,1,0,5,0,6,5,0,0,0,5,1,0,5,0,6,2,0,0,0,2,57,32,11,0,100,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,13,0,14,2,0,0,0,2,19,15,40,0,74,0,0,0,0,0,268,
1,Burke,Four Points,2558,0,2,1,0,3,4,3,1,0,8,138,173,39,0,350,0,0,3,0,3,9,4,3,0,16,2,0,0,0,2,7,7,3,0,17,31,34,16,0,81,5,7,8,0,20,14,4,0,0,18,7,9,3,0,19,3,13,2,0,18,262,290,91,0,643,3,9,1,0,13,2,3,4,0,9,0,1,1,0,2,13,19,14,0,46,10,5,2,0,17,64,130,95,0,289,0,8,2,0,10,1584,
2,Burke,Girard,733,0,0,0,0,0,0,0,0,0,0,33,26,14,0,73,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,14,11,17,0,42,3,0,0,0,3,3,1,0,0,4,1,4,2,0,7,7,5,2,0,14,71,49,25,0,145,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,1,15,0,19,1,0,0,0,1,59,35,48,0,142,3,2,0,0,5,466,
3,Burke,Gough,434,0,0,1,0,1,0,0,1,0,1,12,23,7,0,42,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,8,1,13,0,22,3,1,0,0,4,1,3,0,0,4,1,1,0,0,2,2,4,2,0,8,24,32,9,0,65,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,2,11,0,17,0,1,0,0,1,28,30,69,0,127,2,0,2,0,4,304,
4,Burke,Greenscut,1036,1,0,0,0,1,0,0,0,0,0,50,81,14,0,145,0,0,0,0,0,1,3,1,0,5,1,1,0,0,2,3,4,0,0,7,20,11,11,0,42,3,5,2,0,10,3,2,1,0,6,3,3,2,0,8,7,4,5,0,16,80,121,27,0,228,2,3,1,0,6,1,2,0,0,3,0,3,0,0,3,4,1,4,0,9,1,4,0,0,5,45,68,62,0,175,0,0,0,0,0,671,
5,Burke,Keysville,476,1,0,1,0,2,1,0,0,0,1,19,16,6,0,41,1,0,1,0,2,1,1,0,0,2,1,0,0,0,1,1,1,0,0,2,18,2,3,0,23,8,1,2,0,11,0,0,1,0,1,3,0,2,0,5,7,1,1,0,9,39,23,7,0,69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,7,0,11,1,1,1,0,3,55,6,14,0,75,0,0,0,0,0,259,
6,Burke,Midville,492,1,0,0,0,1,1,0,0,0,1,46,8,3,0,57,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,15,3,4,0,22,3,2,4,0,9,3,2,0,0,5,4,1,1,0,6,7,0,0,0,7,37,9,8,0,54,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,2,0,11,0,13,0,0,0,0,0,56,17,39,0,112,2,1,0,0,3,296,
7,Burke,Munnerlyn,299,0,0,0,0,0,2,0,0,0,2,19,18,2,0,39,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,5,3,4,0,12,0,0,0,0,0,2,0,0,0,2,3,3,1,0,7,1,1,0,0,2,38,28,2,0,68,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,20,20,0,52,0,0,0,0,0,192,
8,Burke,Sardis,1049,0,1,0,0,1,1,1,0,0,2,68,45,20,0,133,0,0,0,0,0,8,0,1,0,9,0,0,0,0,0,2,0,1,0,3,25,11,7,0,43,4,5,6,0,15,6,2,0,0,8,3,3,1,0,7,8,5,1,0,14,112,68,30,0,210,5,1,0,0,6,3,2,0,0,5,0,0,0,0,0,2,4,6,0,12,5,1,0,0,6,86,46,31,0,163,1,1,0,0,2,639,
9,Burke,Scotts Crossroads,294,0,0,1,0,1,0,0,1,0,1,19,6,1,0,26,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,8,7,3,0,18,2,5,2,0,9,2,2,0,0,4,1,1,0,0,2,1,1,0,0,2,19,8,3,0,30,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,21,25,32,0,78,2,0,1,0,3,185,
