index,County,Precinct,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
0,Camden,Tarboro,979,165,138,46,0,349,85,124,83,0,292,641,
1,Camden,Waverly,1530,154,275,105,0,534,178,275,191,0,644,1178,
2,Camden,Woodbine,1973,208,367,93,1,669,123,303,186,0,612,1281,
3,Camden,Browntown,698,100,166,46,0,312,35,61,39,0,135,447,
4,Camden,Harrietts Bluff,1834,298,502,122,0,922,107,205,92,1,405,1327,
5,Camden,West Kingsland,2782,247,748,158,0,1153,125,379,117,0,621,1774,
6,Camden,North Kingsland,2599,169,427,85,0,681,131,422,210,0,763,1444,
7,Camden,Kingsland,2274,148,444,93,0,685,106,285,123,0,514,1199,
8,Camden,East Kingsland,6866,419,1656,383,0,2458,256,1049,449,0,1754,4212,
9,Camden,North St Marys,2095,134,271,77,0,482,108,217,90,1,416,898,
10,Camden,St Marys,3218,300,663,158,0,1121,167,429,257,0,853,1974,
11,Camden,South St Marys,2139,164,543,151,2,860,86,308,232,0,626,1486,
12,Camden,Mush Bluff,2816,253,711,162,1,1127,134,404,222,0,760,1887,
13,Camden,West St Marys,3147,187,1062,352,0,1601,85,427,282,0,794,2395,
