index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Camden,Tarboro,979,220,215,55,0,490,50,58,84,0,192,0,6,1,0,7,689,
1,Camden,Waverly,1530,276,467,143,0,886,76,104,167,0,347,3,2,4,0,9,1242,
2,Camden,Woodbine,1973,257,479,105,1,842,96,251,193,0,540,11,1,2,0,14,1396,
3,Camden,Browntown,698,126,207,51,0,384,8,25,41,0,74,4,8,2,0,14,472,
4,Camden,Harrietts Bluff,1834,361,583,131,0,1075,46,151,101,1,299,15,8,2,0,25,1399,
5,Camden,West Kingsland,2782,295,896,164,0,1355,85,279,133,0,497,17,17,5,0,39,1891,
6,Camden,North Kingsland,2599,188,485,74,0,747,130,426,248,0,804,9,24,5,0,38,1589,
7,Camden,Kingsland,2274,178,495,90,0,763,72,266,147,0,485,15,12,2,0,29,1277,
8,Camden,East Kingsland,6866,486,1942,397,0,2825,192,898,514,0,1604,35,42,23,0,100,4529,
9,Camden,North St Marys,2095,158,316,81,0,555,88,201,97,1,387,11,15,10,0,36,978,
10,Camden,St Marys,3218,335,714,173,0,1222,138,433,274,0,845,25,18,18,0,61,2128,
11,Camden,South St Marys,2139,207,646,157,3,1013,48,252,246,0,546,9,8,4,0,21,1580,
12,Camden,Mush Bluff,2816,312,822,174,0,1308,86,326,226,1,639,8,28,8,0,44,1991,
13,Camden,West St Marys,3147,222,1198,366,0,1786,51,351,306,0,708,8,16,9,0,33,2527,
