index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Camden,Tarboro,979,206,200,55,0,461,45,55,75,0,175,6,11,4,0,21,657,
1,Camden,Waverly,1530,253,456,138,0,847,71,94,156,0,321,15,8,9,0,32,1200,
2,Camden,Woodbine,1973,236,459,104,1,800,83,229,182,0,494,21,13,5,0,39,1333,
3,Camden,Browntown,698,110,200,51,0,361,16,21,34,0,71,8,11,5,0,24,456,
4,Camden,Harrietts Bluff,1834,339,560,130,0,1029,40,129,88,1,258,26,29,5,0,60,1347,
5,Camden,West Kingsland,2782,278,869,157,0,1304,76,246,108,0,430,25,37,8,0,70,1804,
6,Camden,North Kingsland,2599,180,460,77,0,717,111,381,225,0,717,21,42,9,0,72,1506,
7,Camden,Kingsland,2274,160,478,88,0,726,68,243,131,0,442,25,28,5,0,58,1226,
8,Camden,East Kingsland,6866,463,1863,381,0,2707,156,826,458,0,1440,64,115,36,0,215,4362,
9,Camden,North St Marys,2095,139,305,71,0,515,78,190,91,1,360,27,22,12,0,61,936,
10,Camden,St Marys,3218,322,670,155,0,1147,130,393,257,0,780,33,62,26,0,121,2048,
11,Camden,South St Marys,2139,194,609,151,1,955,41,231,227,1,500,17,33,15,0,65,1520,
12,Camden,Mush Bluff,2816,283,795,171,0,1249,75,288,199,1,563,33,58,24,0,115,1927,
13,Camden,West St Marys,3147,209,1167,370,0,1746,43,310,256,0,609,18,43,14,0,75,2430,
