index,County,Precinct,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,
0,Camden,Tarboro,979,231,232,84,0,547,547,
1,Camden,Waverly,1530,296,495,188,0,979,979,
2,Camden,Woodbine,1973,290,561,164,1,1016,1016,
3,Camden,Harrietts Bluff,1834,385,649,167,0,1201,1201,
4,Camden,North Kingsland,2599,252,650,185,0,1087,1087,
5,Camden,East Kingsland,6866,620,2389,630,0,3639,3639,
6,Camden,North St Marys,2095,216,414,128,0,758,758,
7,Camden,St Marys,3218,431,949,296,0,1676,1676,
8,Camden,South St Marys,2139,236,763,255,2,1256,1256,
9,Camden,Mush Bluff,2816,361,1001,292,1,1655,1655,
10,Camden,West St Marys,3147,256,1361,508,0,2125,2125,
