County,Precinct,Registered Voters,Beth Soles (I) (Rep)_Election Day Votes,Beth Soles (I) (Rep)_Advanced Voting Votes,Beth Soles (I) (Rep)_Absentee by Mail Votes,Beth Soles (I) (Rep)_Provisional Votes,Beth Soles (I) (Rep)_Choice Total,Total,
Camden,Tarboro,979,252,236,97,0,585,585,
Camden,Waverly,1530,309,518,218,0,1045,1045,
Camden,Woodbine,1973,305,605,196,1,1107,1107,
Camden,Browntown,698,133,222,74,0,429,429,
Camden,Harrietts Bluff,1834,391,674,175,0,1240,1240,
Camden,West Kingsland,2782,350,1068,237,0,1655,1655,
Camden,North Kingsland,2599,263,707,227,0,1197,1197,
Camden,Kingsland,2274,233,653,174,0,1060,1060,
Camden,East Kingsland,6866,634,2458,704,0,3796,3796,
Camden,North St Marys,2095,217,422,139,0,778,778,
Camden,St Marys,3218,443,984,314,0,1741,1741,
Camden,South St Marys,2139,235,793,290,2,1320,1320,
Camden,Mush Bluff,2816,372,1028,299,1,1700,1700,
Camden,West St Marys,3147,256,1386,545,0,2187,2187,
