index,County,Precinct,Registered Voters,Alan J. Lee (I) (Rep)_Election Day Votes,Alan J. Lee (I) (Rep)_Advanced Voting Votes,Alan J. Lee (I) (Rep)_Absentee by Mail Votes,Alan J. Lee (I) (Rep)_Provisional Votes,Alan J. Lee (I) (Rep)_Choice Total,Total,
0,Carroll,Kansas,1165,450,271,92,0,813,813,
1,Carroll,Bowdon,3289,700,760,290,1,1751,1751,
2,Carroll,Sandhill,4459,571,1550,331,2,2454,2454,
3,Carroll,Center Point,1775,467,630,154,1,1252,1252,
4,Carroll,Mt Zion,2641,666,722,211,0,1599,1599,
5,Carroll,Burwell,1564,414,421,143,2,980,980,
6,Carroll,Clem,3695,515,1568,366,2,2451,2451,
7,Carroll,Bowdon Junction,1547,265,446,124,0,835,835,
8,Carroll,Tyus,1920,573,535,153,1,1262,1262,
9,Carroll,Fairfield,3867,914,1208,352,0,2474,2474,
10,Carroll,Hulett,2408,520,829,176,0,1525,1525,
11,Carroll,Bethany,4779,505,1327,338,0,2170,2170,
12,Carroll,V R County South,2942,329,1098,260,1,1688,1688,
13,Carroll,V R County North,5472,634,1807,431,0,2872,2872,
14,Carroll,Villa Rica City,7250,644,1994,556,0,3194,3194,
15,Carroll,Temple County,4354,701,1365,320,3,2389,2389,
16,Carroll,Temple City,3700,657,1016,254,3,1930,1930,
17,Carroll,Whitesburg,2190,560,596,164,0,1320,1320,
18,Carroll,Roopville,3200,674,1090,270,3,2037,2037,
19,Carroll,West Carrollton,4380,309,979,294,2,1584,1584,
20,Carroll,Lakeshore Rec Center,1671,132,538,149,1,820,820,
21,Carroll,Bonner,3736,291,1343,292,2,1928,1928,
22,Carroll,University of W GA,2164,219,650,167,2,1038,1038,
23,Carroll,County Admin Bldg,2620,216,951,242,1,1410,1410,
24,Carroll,Tabernacle Church,1628,140,567,208,0,915,915,
25,Carroll,Burson Center,1466,150,535,135,1,821,821,
26,Carroll,Old Camp Church,2297,398,866,222,2,1488,1488,
27,Carroll,Oak Grove,1668,318,549,124,0,991,991,
