index,County,Precinct,Registered Voters,Terry E. Langley (I) (Rep)_Election Day Votes,Terry E. Langley (I) (Rep)_Advanced Voting Votes,Terry E. Langley (I) (Rep)_Absentee by Mail Votes,Terry E. Langley (I) (Rep)_Provisional Votes,Terry E. Langley (I) (Rep)_Choice Total,Total,
0,Carroll,Kansas,1165,445,270,99,0,814,814,
1,Carroll,Bowdon,3289,717,791,312,1,1821,1821,
2,Carroll,Sandhill,4459,587,1579,347,3,2516,2516,
3,Carroll,Center Point,1775,472,637,160,1,1270,1270,
4,Carroll,Mt Zion,2641,664,730,216,0,1610,1610,
5,Carroll,Burwell,1564,421,428,156,2,1007,1007,
6,Carroll,Clem,3695,521,1600,370,1,2492,2492,
7,Carroll,Bowdon Junction,1547,266,459,125,0,850,850,
8,Carroll,Tyus,1920,575,546,162,1,1284,1284,
9,Carroll,Fairfield,3867,920,1235,374,0,2529,2529,
10,Carroll,Hulett,2408,530,842,182,0,1554,1554,
11,Carroll,Bethany,4779,511,1359,352,1,2223,2223,
12,Carroll,V R County South,2942,330,1113,279,1,1723,1723,
13,Carroll,V R County North,5472,640,1823,452,0,2915,2915,
14,Carroll,Villa Rica City,7250,649,2020,568,1,3238,3238,
15,Carroll,Temple County,4354,703,1379,335,3,2420,2420,
16,Carroll,Temple City,3700,659,1033,260,3,1955,1955,
17,Carroll,Whitesburg,2190,566,605,163,0,1334,1334,
18,Carroll,Roopville,3200,678,1112,285,3,2078,2078,
19,Carroll,West Carrollton,4380,322,1028,318,2,1670,1670,
20,Carroll,Lakeshore Rec Center,1671,137,543,158,1,839,839,
21,Carroll,Bonner,3736,298,1391,299,2,1990,1990,
22,Carroll,University of W GA,2164,225,655,180,2,1062,1062,
23,Carroll,County Admin Bldg,2620,217,979,254,1,1451,1451,
24,Carroll,Tabernacle Church,1628,146,580,232,0,958,958,
25,Carroll,Burson Center,1466,152,545,139,1,837,837,
26,Carroll,Old Camp Church,2297,397,884,238,2,1521,1521,
27,Carroll,Oak Grove,1668,316,555,128,1,1000,1000,
