index,County,Precinct,Registered Voters,J. Collins (I) (Rep)_Election Day Votes,J. Collins (I) (Rep)_Advanced Voting Votes,J. Collins (I) (Rep)_Absentee by Mail Votes,J. Collins (I) (Rep)_Provisional Votes,J. Collins (I) (Rep)_Choice Total,Total,
0,Carroll,Sandhill,4459,570,1551,334,0,2455,2455,
1,Carroll,Center Point,1775,463,632,158,0,1253,1253,
2,Carroll,Fairfield,3867,908,1207,360,0,2475,2475,
3,Carroll,Hulett,2408,529,829,177,0,1535,1535,
4,Carroll,Bethany,4779,362,964,236,1,1563,1563,
5,Carroll,V R County South,2942,332,1109,268,1,1710,1710,
6,Carroll,V R County North,5472,641,1805,456,0,2902,2902,
7,Carroll,Villa Rica City,7250,644,2015,556,0,3215,3215,
8,Carroll,Temple County,4354,701,1367,325,0,2393,2393,
9,Carroll,Temple City,3700,652,1016,256,1,1925,1925,
