index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Catoosa,Blackstock,1952,275,490,122,1,888,122,165,44,0,331,1219,
1,Catoosa,Boynton,6027,608,2103,459,1,3171,175,746,160,2,1083,4254,
2,Catoosa,Catoosa Keith,2611,377,725,174,0,1276,151,235,73,0,459,1735,
3,Catoosa,Chambers,2552,246,912,187,1,1346,114,329,81,1,525,1871,
4,Catoosa,Ft Oglethorpe,4054,364,1187,362,1,1914,97,389,137,0,623,2537,
5,Catoosa,Graysville,4501,491,1412,308,3,2214,144,438,109,0,691,2905,
6,Catoosa,Lakeview,3572,333,950,210,2,1495,84,323,102,1,510,2005,
7,Catoosa,Poplar Springs,4191,409,1429,291,1,2130,116,462,123,0,701,2831,
8,Catoosa,Ringgold,7414,525,2698,604,1,3828,170,830,239,2,1241,5069,
9,Catoosa,Westside,5895,374,1880,447,1,2702,116,648,161,1,926,3628,
10,Catoosa,Woodstation,2946,438,927,177,2,1544,140,342,75,1,558,2102,
