index,County,Precinct,Registered Voters,Gary Wayne Autry (I) (Rep)_Election Day Votes,Gary Wayne Autry (I) (Rep)_Advanced Voting Votes,Gary Wayne Autry (I) (Rep)_Absentee by Mail Votes,Gary Wayne Autry (I) (Rep)_Provisional Votes,Gary Wayne Autry (I) (Rep)_Choice Total,Total,
0,Catoosa,Blackstock,1952,404,627,127,1,1159,1159,
1,Catoosa,Boynton,6027,771,2716,503,3,3993,3993,
2,Catoosa,Catoosa Keith,2611,516,925,207,0,1648,1648,
3,Catoosa,Chambers,2552,361,1193,228,3,1785,1785,
4,Catoosa,Ft Oglethorpe,4054,431,1481,402,1,2315,2315,
5,Catoosa,Graysville,4501,627,1778,339,3,2747,2747,
6,Catoosa,Lakeview,3572,398,1222,270,3,1893,1893,
7,Catoosa,Poplar Springs,4191,524,1838,343,0,2705,2705,
8,Catoosa,Ringgold,7414,663,3363,708,3,4737,4737,
9,Catoosa,Westside,5895,464,2396,524,2,3386,3386,
10,Catoosa,Woodstation,2946,574,1238,216,3,2031,2031,
