index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Catoosa,Blackstock,1952,1,1,1,0,3,1,3,0,0,4,123,219,37,0,379,1,3,3,0,7,15,17,4,0,36,5,4,4,1,14,6,19,3,0,28,7,15,5,0,27,4,4,0,0,8,13,22,1,0,36,2,11,2,0,15,8,27,9,0,44,206,286,62,0,554,0,2,0,0,2,6,5,1,0,12,1,0,0,0,1,3,6,2,0,11,9,10,1,0,20,13,34,27,0,74,1,1,3,0,5,1280,
1,Catoosa,Boynton,6027,3,3,3,0,9,5,5,4,0,14,206,816,108,1,1131,6,6,2,0,14,27,66,11,0,104,5,16,3,0,24,25,76,7,0,108,23,126,56,0,205,8,24,11,0,43,16,53,4,0,73,7,25,13,0,45,18,106,36,1,161,363,1327,243,1,1934,12,20,2,0,34,21,28,5,0,54,3,8,1,0,12,3,13,13,0,29,26,64,7,0,97,35,192,123,0,350,5,6,5,0,16,4457,
2,Catoosa,Catoosa Keith,2611,3,1,3,0,7,1,3,2,0,6,158,268,58,0,484,1,3,2,0,6,18,21,8,0,47,3,7,4,0,14,15,23,1,0,39,11,25,20,0,56,3,5,1,0,9,8,25,3,0,36,2,9,2,0,13,10,26,21,0,57,258,478,97,0,833,3,7,0,0,10,15,12,1,0,28,0,5,1,0,6,2,10,2,0,14,15,20,1,0,36,18,68,41,0,127,2,2,1,0,5,1833,
3,Catoosa,Chambers,2552,1,0,0,0,1,0,4,0,0,4,95,385,54,0,534,2,3,1,0,6,14,27,4,0,45,3,11,2,0,16,9,23,3,0,35,5,33,18,0,56,1,12,1,0,14,8,21,1,0,30,3,8,2,0,13,15,21,6,1,43,174,626,130,0,930,7,6,0,0,13,10,7,2,1,20,3,2,1,0,6,1,2,2,0,5,10,28,0,1,39,17,80,58,0,155,1,2,5,0,8,1973,
4,Catoosa,Ft Oglethorpe,4054,3,4,4,0,11,6,3,7,0,16,111,412,104,0,627,4,5,2,0,11,17,59,8,0,84,4,7,6,0,17,12,33,9,0,54,31,104,44,0,179,6,22,7,0,35,11,25,13,0,49,12,23,8,0,43,17,71,34,0,122,186,708,162,1,1057,1,14,5,0,20,8,14,1,0,23,2,5,2,0,9,1,8,12,0,21,9,36,6,0,51,29,101,74,0,204,2,7,6,0,15,2648,
5,Catoosa,Graysville,4501,4,0,3,0,7,0,3,7,0,10,170,545,86,1,802,0,3,0,0,3,29,49,11,0,89,7,9,1,0,17,27,53,5,0,85,17,61,43,0,121,7,25,9,0,41,15,27,5,1,48,10,17,19,0,46,16,62,27,0,105,281,897,134,1,1313,7,8,3,0,18,15,20,0,0,35,3,4,2,0,9,1,4,7,0,12,18,37,5,0,60,35,112,67,0,214,4,8,6,0,18,3053,
6,Catoosa,Lakeview,3572,3,6,3,0,12,3,4,3,0,10,113,395,62,0,570,4,6,3,0,13,12,41,9,0,62,5,9,6,0,20,18,36,8,0,62,16,67,20,0,103,5,16,8,0,29,16,25,2,1,44,10,13,7,0,30,15,40,27,0,82,145,533,117,0,795,3,13,1,0,17,11,16,3,1,31,5,5,0,0,10,1,6,2,0,9,12,28,3,0,43,29,75,51,1,156,2,8,1,0,11,2109,
7,Catoosa,Poplar Springs,4191,1,8,3,0,12,1,4,2,0,7,138,594,82,0,814,5,4,7,0,16,18,43,13,0,74,8,13,3,0,24,12,50,4,0,66,27,66,31,0,124,1,15,10,0,26,17,35,2,0,54,4,14,10,0,28,10,57,19,1,87,239,898,167,0,1304,2,11,1,0,14,15,13,2,0,30,3,3,0,0,6,1,6,5,0,12,12,27,2,0,41,29,116,75,0,220,1,6,6,0,13,2972,
8,Catoosa,Ringgold,7414,5,9,5,0,19,4,9,6,0,19,175,1014,159,1,1349,2,15,3,0,20,24,87,9,0,120,5,23,3,0,31,22,82,8,1,113,33,144,62,0,239,7,31,10,0,48,16,58,14,0,88,8,43,16,0,67,25,114,62,0,201,302,1637,337,1,2277,11,30,4,0,45,18,41,9,0,68,1,9,4,0,14,1,15,10,0,26,19,59,6,0,84,46,283,184,0,513,3,11,4,0,18,5359,
9,Catoosa,Westside,5895,2,7,7,0,16,5,9,6,0,20,123,671,135,1,930,6,9,0,0,15,17,75,18,0,110,7,14,4,0,25,17,66,9,1,93,31,151,59,0,241,8,44,11,0,63,18,52,7,0,77,5,31,4,0,40,17,106,43,0,166,187,1180,227,0,1594,6,18,3,0,27,11,15,4,0,30,2,8,0,0,10,4,13,6,0,23,19,50,6,0,75,15,137,93,0,245,2,9,8,0,19,3819,
