index,County,Precinct,Registered Voters,Gator Rivers (Rep)_Election Day Votes,Gator Rivers (Rep)_Advanced Voting Votes,Gator Rivers (Rep)_Absentee by Mail Votes,Gator Rivers (Rep)_Provisional Votes,Gator Rivers (Rep)_Choice Total,Tony B. Riley (Dem)_Election Day Votes,Tony B. Riley (Dem)_Advanced Voting Votes,Tony B. Riley (Dem)_Absentee by Mail Votes,Tony B. Riley (Dem)_Provisional Votes,Tony B. Riley (Dem)_Choice Total,Total,
0,Chatham,2-02C Blackshear Community Center1714,67,92,59,1,219,0,0,0,0,0,219,,
1,Chatham,2-03C W W Law Center,1609,62,66,36,1,165,0,0,0,0,0,165,
2,Chatham,2-04C Fellowship of Love Church3178,120,85,83,0,288,0,0,0,0,0,288,,
3,Chatham,2-05C Holy Spirit Lutheran Church2079,72,91,41,0,204,0,0,0,0,0,204,,
4,Chatham,2-07C Christ Community Church 2808,134,113,72,0,319,0,0,0,0,0,319,,
5,Chatham,2-09C Salvation Army,3342,126,144,77,0,347,0,0,0,0,0,347,
6,Chatham,2-11C Stillwell Towers,1900,88,73,49,0,210,0,0,0,0,0,210,
7,Chatham,2-12C Williams Court Apts,1683,66,70,37,0,173,0,0,0,0,0,173,
8,Chatham,3-02C Temple Mickve Israel,1598,48,67,24,2,141,0,0,0,0,0,141,
9,Chatham,3-03C Savannah High School,1185,13,15,9,0,37,0,0,0,0,0,37,
10,Chatham,3-08C Jenkins High School,1210,95,106,58,0,259,0,0,0,0,0,259,
11,Chatham,3-09C Cokesbury Methodist,664,168,82,58,1,309,0,0,0,0,0,309,
12,Chatham,3-10C Bible Baptist Church,2640,61,50,28,0,139,0,0,0,0,0,139,
13,Chatham,8-02C Hellenic Center,1709,82,85,52,0,219,0,0,0,0,0,219,
14,Chatham,8-05C W Broad St YMCA,1543,8,3,6,0,17,0,0,0,0,0,17,
15,Chatham,8-06C Tompkins Rec Center,1055,5,1,1,1,8,0,0,0,0,0,8,
