index,County,Precinct,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
0,Chatham,1-10C St Thomas Episcopal Church1101,360,235,204,2,801,801,,
1,Chatham,1-12C Isle of Hope Baptist,1909,563,459,355,1,1378,1378,
2,Chatham,1-13C The Sanctuary,1396,296,312,169,1,778,778,
3,Chatham,1-14C Compassion Christian Church1718,282,424,310,1,1017,1017,,
4,Chatham,1-16C Ferguson Ave Baptist,2905,648,747,384,5,1784,1784,
5,Chatham,1-17C Islands Christian Church3136,510,933,617,1,2061,2061,,
6,Chatham,3-12C Thunderbolt Muni Complex1678,286,224,146,0,656,656,,
7,Chatham,4-02C Frank Murray Comm Center2472,380,625,300,0,1305,1305,,
8,Chatham,4-04C Lighthouse Baptist Church2470,515,619,359,4,1497,1497,,
9,Chatham,4-05C St Francis Episcopal Church2244,539,564,310,1,1414,1414,,
10,Chatham,4-06C First Baptist of the Island2252,515,636,331,3,1485,1485,,
11,Chatham,4-07C Wilmington Island UMC,3370,598,872,505,4,1979,1979,
12,Chatham,4-08C Wilmington Island Pres Church2678,580,772,473,1,1826,1826,,
13,Chatham,4-10C Guard House Comm Ctr,1469,419,273,182,2,876,876,
14,Chatham,4-11C Tybee Island School Cafe1640,535,211,196,1,943,943,,
15,Chatham,4-12C St Peters Episcopal,2294,629,518,499,3,1649,1649,
16,Chatham,4-13C Skidaway Island Pres Church2469,526,585,641,2,1754,1754,,
17,Chatham,4-14C Skidaway Island Baptist 1744,386,366,423,3,1178,1178,,
18,Chatham,4-15C Skidaway Island State Park0,321,388,549,4,1262,1262,,
19,Chatham,6-02C Windsor Forest Baptist,2290,477,540,351,0,1368,1368,
20,Chatham,6-10C Station 3,4184,545,988,561,3,2097,2097,
21,Chatham,6-11C Bamboo Farms,5149,578,899,449,6,1932,1932,
22,Chatham,7-06C Pooler City Hall,3555,350,840,383,0,1573,1573,
23,Chatham,7-07C Rothwell Baptist Church 3932,341,1132,566,3,2042,2042,,
24,Chatham,7-08C Bloomingdale Comm Ctr,2733,550,695,261,0,1506,1506,
25,Chatham,7-09C Savannah Holy C of G,2823,359,485,299,2,1145,1145,
26,Chatham,7-12C Pooler Church,3334,289,871,467,4,1631,1631,
27,Chatham,7-13C Southside Fire Trng Ctr 2513,268,812,521,1,1602,1602,,
28,Chatham,7-16C Pooler Recreation Center Gymnasium3701,306,1116,601,10,2033,2033,,
29,Chatham,8-16C Royal Cinemas and IMAX,3087,297,831,462,0,1590,1590,
