County,Precinct,Registered Voters,B. J._Election Day Votes,B. J._Advanced Voting Votes,B. J._Absentee by Mail Votes,B. J._Provisional Votes,B. J._Choice Total,Total,
Chattooga,Coldwater,248,28,92,29,0,149,149,
Chattooga,Dirtseller,186,49,64,9,0,122,122,
Chattooga,Haywood,169,75,22,5,1,103,103,
Chattooga,Lyerly,934,233,280,73,2,588,588,
Chattooga,Trion,3496,398,931,228,0,1557,1557,
Chattooga,Summerville,5155,629,1860,531,1,3021,3021,
Chattooga,Teloga,593,88,250,72,0,410,410,
Chattooga,Dirttown,897,256,268,76,0,600,600,
Chattooga,Seminole,138,36,46,20,0,102,102,
Chattooga,Subligna,489,168,127,55,1,351,351,
Chattooga,Alpine,872,274,239,80,0,593,593,
Chattooga,Cloudland,378,88,119,41,0,248,248,
Chattooga,Pennville,588,76,209,46,0,331,331,
