index,County,Precinct,Registered Voters,Eddie Lumsden (I) (Rep)_Election Day Votes,Eddie Lumsden (I) (Rep)_Advanced Voting Votes,Eddie Lumsden (I) (Rep)_Absentee by Mail Votes,Eddie Lumsden (I) (Rep)_Provisional Votes,Eddie Lumsden (I) (Rep)_Choice Total,Jonathan Gilreath-Harvey (Dem)_Election Day Votes,Jonathan Gilreath-Harvey (Dem)_Advanced Voting Votes,Jonathan Gilreath-Harvey (Dem)_Absentee by Mail Votes,Jonathan Gilreath-Harvey (Dem)_Provisional Votes,Jonathan Gilreath-Harvey (Dem)_Choice Total,Total,
0,Chattooga,Coldwater,248,25,83,14,0,122,9,27,25,0,61,183,
1,Chattooga,Dirtseller,186,43,59,9,0,111,6,9,4,0,19,130,
2,Chattooga,Haywood,169,73,24,3,0,100,9,0,5,1,15,115,
3,Chattooga,Lyerly,934,216,268,54,1,539,35,42,28,0,105,644,
4,Chattooga,Trion,3496,563,1160,263,1,1987,73,145,126,0,344,2331,
5,Chattooga,Summerville,5155,543,1661,421,1,2626,146,380,275,1,802,3428,
6,Chattooga,Teloga,593,84,242,68,0,394,7,22,21,0,50,444,
7,Chattooga,Dirttown,897,255,265,74,0,594,25,40,43,0,108,702,
8,Chattooga,Seminole,138,35,43,19,0,97,2,4,2,0,8,105,
9,Chattooga,Subligna,489,167,122,48,1,338,8,10,17,0,35,373,
10,Chattooga,Alpine,872,261,218,73,0,552,25,39,30,0,94,646,
11,Chattooga,Cloudland,378,81,106,38,0,225,7,34,24,0,65,290,
12,Chattooga,Pennville,588,64,198,38,0,300,14,22,15,0,51,351,
