index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Chattooga,Coldwater,248,22,70,28,0,120,10,35,10,0,55,175,
1,Chattooga,Dirtseller,186,29,51,10,0,90,18,17,0,0,35,125,
2,Chattooga,Haywood,169,54,19,6,1,80,22,4,2,0,28,108,
3,Chattooga,Lyerly,934,180,224,50,1,455,63,78,22,1,164,619,
4,Chattooga,Trion,3496,467,932,260,1,1660,140,323,107,0,570,2230,
5,Chattooga,Summerville,5155,488,1459,460,2,2409,157,511,190,0,858,3267,
6,Chattooga,Teloga,593,56,187,59,0,302,24,63,21,0,108,410,
7,Chattooga,Dirttown,897,180,197,79,0,456,83,88,29,0,200,656,
8,Chattooga,Seminole,138,17,27,16,0,60,18,19,3,0,40,100,
9,Chattooga,Subligna,489,113,105,39,1,258,55,22,23,0,100,358,
10,Chattooga,Alpine,872,202,166,67,0,435,74,73,29,0,176,611,
11,Chattooga,Cloudland,378,71,94,31,0,196,15,43,26,0,84,280,
12,Chattooga,Pennville,588,60,150,27,0,237,14,59,20,0,93,330,
