index,County,Precinct,Registered Voters,Charlice Byrd (Rep)_Election Day Votes,Charlice Byrd (Rep)_Advanced Voting Votes,Charlice Byrd (Rep)_Absentee by Mail Votes,Charlice Byrd (Rep)_Provisional Votes,Charlice Byrd (Rep)_Choice Total,Ginny Lennox (Dem)_Election Day Votes,Ginny Lennox (Dem)_Advanced Voting Votes,Ginny Lennox (Dem)_Absentee by Mail Votes,Ginny Lennox (Dem)_Provisional Votes,Ginny Lennox (Dem)_Choice Total,Total,
0,Cherokee,Bascomb,4115,563,1167,399,0,2129,162,438,363,0,963,3092,
1,Cherokee,Booth,3899,404,1260,471,0,2135,119,404,390,0,913,3048,
2,Cherokee,Carmel,4581,499,848,397,2,1746,278,515,454,1,1248,2994,
3,Cherokee,Deer Run,3035,583,671,296,1,1551,134,348,284,0,766,2317,
4,Cherokee,Dixie,5733,536,1286,502,0,2324,284,704,594,0,1582,3906,
5,Cherokee,Hillside,3155,377,1082,402,0,1861,91,307,278,0,676,2537,
6,Cherokee,Neese,7642,451,1075,365,1,1892,175,573,486,0,1234,3126,
7,Cherokee,Rosecreek,3748,505,1136,393,0,2034,126,391,329,0,846,2880,
8,Cherokee,Sixes,3101,421,1003,394,0,1818,83,279,282,0,644,2462,
9,Cherokee,Victoria,3132,545,868,282,0,1695,120,266,190,0,576,2271,
10,Cherokee,Woodstock,7345,633,1750,694,0,3077,297,978,693,0,1968,5045,
