County,Precinct,Registered Voters,Victor Hill (I) (Dem)_Election Day Votes,Victor Hill (I) (Dem)_Advanced Voting Votes,Victor Hill (I) (Dem)_Absentee by Mail Votes,Victor Hill (I) (Dem)_Provisional Votes,Victor Hill (I) (Dem)_Choice Total,Total,
Clayton,Ellenwood 1,3020,212,1123,613,5,1953,1953,
Clayton,Ellenwood 2,3273,246,1267,562,3,2078,2078,
Clayton,Forest Park 1,3566,388,487,335,10,1220,1220,
Clayton,Forest Park 2,2821,299,535,350,7,1191,1191,
Clayton,Forest Park 3,2845,243,472,339,16,1070,1070,
Clayton,Forest Park 4,1783,174,410,187,0,771,771,
Clayton,Forest Park 5,3924,390,738,372,15,1515,1515,
Clayton,Forest Park 6,1463,114,342,141,3,600,600,
Clayton,Jonesboro 1,3244,273,921,570,5,1769,1769,
Clayton,Jonesboro 2,4345,339,1207,698,10,2254,2254,
Clayton,Jonesboro 3,4107,268,1222,753,7,2250,2250,
Clayton,Jonesboro 4,2574,202,520,263,5,990,990,
Clayton,Jonesboro 5,2064,251,546,296,0,1093,1093,
Clayton,Jonesboro 6,2574,166,703,534,3,1406,1406,
Clayton,Jonesboro 7,3174,265,910,470,5,1650,1650,
Clayton,Jonesboro 8,3947,415,953,344,4,1716,1716,
Clayton,Jonesboro 9,1759,145,316,184,3,648,648,
Clayton,Jonesboro 10,3398,310,660,383,5,1358,1358,
Clayton,Jonesboro 11,3863,261,1164,688,2,2115,2115,
Clayton,Jonesboro 12,3067,284,799,395,11,1489,1489,
Clayton,Jonesboro 13,2140,245,674,355,3,1277,1277,
Clayton,Jonesboro 14,4116,270,1270,752,4,2296,2296,
Clayton,Jonesboro 15,2872,233,635,246,5,1119,1119,
Clayton,Jonesboro 16,2560,279,532,336,1,1148,1148,
Clayton,Jonesboro 17,3359,273,738,460,9,1480,1480,
Clayton,Jonesboro 18,3301,323,913,428,6,1670,1670,
Clayton,Jonesboro 19,3299,276,852,476,8,1612,1612,
Clayton,Lake City,3217,244,794,359,8,1405,1405,
Clayton,Lovejoy 1,4061,308,1364,590,1,2263,2263,
Clayton,Lovejoy 2,3611,230,1059,447,9,1745,1745,
Clayton,Lovejoy 3,1666,117,605,347,2,1071,1071,
Clayton,Lovejoy 4,4149,280,1514,608,4,2406,2406,
Clayton,Lovejoy 5,3451,280,970,463,14,1727,1727,
Clayton,Lovejoy 6,3708,269,1219,578,8,2074,2074,
Clayton,Lovejoy 7,2779,236,803,219,4,1262,1262,
Clayton,Morrow 1,3328,377,726,351,2,1456,1456,
Clayton,Morrow 2,2081,128,507,269,2,906,906,
Clayton,Morrow 3,2407,171,621,359,3,1154,1154,
Clayton,Morrow 4,2112,197,480,258,3,938,938,
Clayton,Morrow 5,3056,262,1032,547,2,1843,1843,
Clayton,Morrow 6,3030,276,904,414,6,1600,1600,
Clayton,Morrow 7,2142,252,438,245,4,939,939,
Clayton,Morrow 8,3185,258,1084,512,8,1862,1862,
Clayton,Morrow 9,1509,121,389,207,0,717,717,
Clayton,Morrow 10,2342,156,809,259,3,1227,1227,
Clayton,Morrow 11,2295,224,649,279,2,1154,1154,
Clayton,Oak 1,2635,296,689,264,2,1251,1251,
Clayton,Oak 2,1974,222,393,202,9,826,826,
Clayton,Oak 3,2731,280,618,335,3,1236,1236,
Clayton,Oak 4,4233,405,1062,457,7,1931,1931,
Clayton,Oak 5,1795,164,376,74,3,617,617,
Clayton,Panhandle 1,2895,236,1033,541,2,1812,1812,
Clayton,Panhandle 2,3382,297,1204,497,4,2002,2002,
Clayton,Riverdale 1,2330,169,779,415,7,1370,1370,
Clayton,Riverdale 2,3431,281,866,521,24,1692,1692,
Clayton,Riverdale 3,3650,327,1026,568,6,1927,1927,
Clayton,Riverdale 4,4362,383,927,627,7,1944,1944,
Clayton,Riverdale 5,2970,284,788,419,9,1500,1500,
Clayton,Riverdale 6,3661,342,626,360,8,1336,1336,
Clayton,Riverdale 7,3020,275,521,309,11,1116,1116,
Clayton,Riverdale 8,2895,221,879,570,5,1675,1675,
Clayton,Riverdale 9,2653,256,684,375,6,1321,1321,
Clayton,Riverdale 10,3176,290,622,259,8,1179,1179,
Clayton,Riverdale 11,1881,162,590,304,1,1057,1057,
Clayton,Riverdale 12,3065,281,864,505,2,1652,1652,
