index,County,Precinct,Registered Voters,Deetra Denise Poindexter_Election Day Votes,Deetra Denise Poindexter_Advanced Voting Votes,Deetra Denise Poindexter_Absentee by Mail Votes,Deetra Denise Poindexter_Provisional Votes,Deetra Denise Poindexter_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,213,1071,568,5,1857,1857,
1,Clayton,Ellenwood 2,3273,235,1230,525,4,1994,1994,
2,Clayton,Forest Park 1,3566,410,503,355,8,1276,1276,
3,Clayton,Forest Park 2,2821,303,525,359,8,1195,1195,
4,Clayton,Forest Park 3,2845,259,454,331,16,1060,1060,
5,Clayton,Forest Park 4,1783,188,389,189,0,766,766,
6,Clayton,Forest Park 5,3924,395,735,370,16,1516,1516,
7,Clayton,Forest Park 6,1463,127,356,138,2,623,623,
8,Clayton,Jonesboro 1,3244,279,892,560,6,1737,1737,
9,Clayton,Jonesboro 2,4345,368,1167,674,9,2218,2218,
10,Clayton,Jonesboro 3,4107,289,1183,744,8,2224,2224,
11,Clayton,Jonesboro 4,2574,226,501,262,5,994,994,
12,Clayton,Jonesboro 5,2064,252,541,295,0,1088,1088,
13,Clayton,Jonesboro 6,2574,162,691,508,3,1364,1364,
14,Clayton,Jonesboro 7,3174,280,909,477,6,1672,1672,
15,Clayton,Jonesboro 8,3947,414,934,335,4,1687,1687,
16,Clayton,Jonesboro 9,1759,152,309,184,2,647,647,
17,Clayton,Jonesboro 10,3398,334,660,385,4,1383,1383,
18,Clayton,Jonesboro 11,3863,290,1173,685,1,2149,2149,
19,Clayton,Jonesboro 12,3067,304,792,385,9,1490,1490,
20,Clayton,Jonesboro 13,2140,238,647,352,3,1240,1240,
21,Clayton,Jonesboro 14,4116,284,1290,753,3,2330,2330,
22,Clayton,Jonesboro 15,2872,243,628,238,6,1115,1115,
23,Clayton,Jonesboro 16,2560,300,519,323,3,1145,1145,
24,Clayton,Jonesboro 17,3359,300,727,476,9,1512,1512,
25,Clayton,Jonesboro 18,3301,334,879,408,5,1626,1626,
26,Clayton,Jonesboro 19,3299,291,816,462,9,1578,1578,
27,Clayton,Lake City,3217,264,777,359,10,1410,1410,
28,Clayton,Lovejoy 1,4061,317,1311,566,2,2196,2196,
29,Clayton,Lovejoy 2,3611,258,1059,444,9,1770,1770,
30,Clayton,Lovejoy 3,1666,124,605,349,2,1080,1080,
31,Clayton,Lovejoy 4,4149,291,1453,593,3,2340,2340,
32,Clayton,Lovejoy 5,3451,297,973,475,13,1758,1758,
33,Clayton,Lovejoy 6,3708,282,1166,564,7,2019,2019,
34,Clayton,Lovejoy 7,2779,228,761,201,5,1195,1195,
35,Clayton,Morrow 1,3328,389,704,333,2,1428,1428,
36,Clayton,Morrow 2,2081,139,507,254,2,902,902,
37,Clayton,Morrow 3,2407,177,572,343,5,1097,1097,
38,Clayton,Morrow 4,2112,193,475,255,3,926,926,
39,Clayton,Morrow 5,3056,263,998,538,2,1801,1801,
40,Clayton,Morrow 6,3030,296,887,419,4,1606,1606,
41,Clayton,Morrow 7,2142,250,433,226,6,915,915,
42,Clayton,Morrow 8,3185,265,1052,488,10,1815,1815,
43,Clayton,Morrow 9,1509,131,383,209,1,724,724,
44,Clayton,Morrow 10,2342,170,775,269,3,1217,1217,
45,Clayton,Morrow 11,2295,238,641,265,2,1146,1146,
46,Clayton,Oak 1,2635,311,689,257,3,1260,1260,
47,Clayton,Oak 2,1974,224,388,203,6,821,821,
48,Clayton,Oak 3,2731,293,647,353,5,1298,1298,
49,Clayton,Oak 4,4233,418,1045,443,6,1912,1912,
50,Clayton,Oak 5,1795,176,365,72,2,615,615,
51,Clayton,Panhandle 1,2895,243,1016,523,2,1784,1784,
52,Clayton,Panhandle 2,3382,300,1157,487,5,1949,1949,
53,Clayton,Riverdale 1,2330,168,766,391,7,1332,1332,
54,Clayton,Riverdale 2,3431,306,848,501,24,1679,1679,
55,Clayton,Riverdale 3,3650,320,1038,555,6,1919,1919,
56,Clayton,Riverdale 4,4362,417,913,608,8,1946,1946,
57,Clayton,Riverdale 5,2970,302,783,400,10,1495,1495,
58,Clayton,Riverdale 6,3661,358,643,376,9,1386,1386,
59,Clayton,Riverdale 7,3020,305,510,316,9,1140,1140,
60,Clayton,Riverdale 8,2895,235,837,563,5,1640,1640,
61,Clayton,Riverdale 9,2653,273,691,373,6,1343,1343,
62,Clayton,Riverdale 10,3176,312,625,268,7,1212,1212,
63,Clayton,Riverdale 11,1881,155,561,274,1,991,991,
64,Clayton,Riverdale 12,3065,287,816,490,2,1595,1595,
