index,County,Precinct,Registered Voters,Rhonda Burnough (I) (Dem)_Election Day Votes,Rhonda Burnough (I) (Dem)_Advanced Voting Votes,Rhonda Burnough (I) (Dem)_Absentee by Mail Votes,Rhonda Burnough (I) (Dem)_Provisional Votes,Rhonda Burnough (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 2,4345,394,1287,755,8,2444,2444,
1,Clayton,Jonesboro 9,1759,161,333,196,3,693,693,
2,Clayton,Jonesboro 12,3067,325,861,428,9,1623,1623,
3,Clayton,Jonesboro 15,2872,256,690,262,4,1212,1212,
4,Clayton,Jonesboro 16,2560,320,558,346,4,1228,1228,
5,Clayton,Riverdale 2,3431,324,920,555,24,1823,1823,
6,Clayton,Riverdale 4,4362,450,999,654,6,2109,2109,
7,Clayton,Riverdale 5,2970,325,836,433,6,1600,1600,
8,Clayton,Riverdale 6,3661,374,689,404,9,1476,1476,
9,Clayton,Riverdale 7,3020,319,549,338,11,1217,1217,
10,Clayton,Riverdale 9,2653,287,744,390,4,1425,1425,
11,Clayton,Riverdale 12,3065,313,917,534,2,1766,1766,
