index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,207,959,514,4,1684,37,246,148,1,432,2116,
1,Clayton,Ellenwood 2,3273,208,1096,439,3,1746,50,278,176,1,505,2251,
2,Clayton,Forest Park 1,3566,366,451,321,6,1144,100,150,96,4,350,1494,
3,Clayton,Forest Park 2,2821,274,496,305,7,1082,82,129,116,5,332,1414,
4,Clayton,Forest Park 3,2845,234,429,276,16,955,67,129,121,4,321,1276,
5,Clayton,Forest Park 4,1783,179,378,170,1,728,49,122,54,1,226,954,
6,Clayton,Forest Park 5,3924,369,692,346,12,1419,87,182,97,6,372,1791,
7,Clayton,Forest Park 6,1463,121,322,125,1,569,29,114,54,1,198,767,
8,Clayton,Jonesboro 1,3244,248,796,491,4,1539,54,191,138,2,385,1924,
9,Clayton,Jonesboro 2,4345,331,1052,598,9,1990,78,255,149,2,484,2474,
10,Clayton,Jonesboro 3,4107,273,1061,634,6,1974,61,280,218,2,561,2535,
11,Clayton,Jonesboro 4,2574,195,444,240,5,884,54,145,68,1,268,1152,
12,Clayton,Jonesboro 5,2064,223,466,273,0,962,67,159,85,0,311,1273,
13,Clayton,Jonesboro 6,2574,157,663,457,3,1280,57,298,236,1,592,1872,
14,Clayton,Jonesboro 7,3174,243,814,409,4,1470,66,237,152,2,457,1927,
15,Clayton,Jonesboro 8,3947,386,840,310,3,1539,62,204,75,1,342,1881,
16,Clayton,Jonesboro 9,1759,140,275,164,4,583,38,78,53,1,170,753,
17,Clayton,Jonesboro 10,3398,298,586,336,4,1224,73,155,107,2,337,1561,
18,Clayton,Jonesboro 11,3863,256,1030,616,2,1904,74,318,204,2,598,2502,
19,Clayton,Jonesboro 12,3067,267,712,339,13,1331,58,162,101,2,323,1654,
20,Clayton,Jonesboro 13,2140,220,555,285,3,1063,60,170,101,1,332,1395,
21,Clayton,Jonesboro 14,4116,261,1162,724,3,2150,80,386,237,1,704,2854,
22,Clayton,Jonesboro 15,2872,219,591,222,6,1038,44,120,62,4,230,1268,
23,Clayton,Jonesboro 16,2560,265,467,276,2,1010,72,122,97,1,292,1302,
24,Clayton,Jonesboro 17,3359,276,679,401,8,1364,52,143,114,2,311,1675,
25,Clayton,Jonesboro 18,3301,298,795,345,4,1442,65,195,119,1,380,1822,
26,Clayton,Jonesboro 19,3299,255,761,401,7,1424,62,185,129,3,379,1803,
27,Clayton,Lake City,3217,242,715,295,9,1261,56,195,100,1,352,1613,
28,Clayton,Lovejoy 1,4061,295,1182,521,2,2000,72,303,168,0,543,2543,
29,Clayton,Lovejoy 2,3611,213,932,391,9,1545,58,270,107,1,436,1981,
30,Clayton,Lovejoy 3,1666,98,520,313,3,934,38,159,98,0,295,1229,
31,Clayton,Lovejoy 4,4149,260,1338,506,3,2107,50,301,159,1,511,2618,
32,Clayton,Lovejoy 5,3451,254,851,398,11,1514,69,227,117,1,414,1928,
33,Clayton,Lovejoy 6,3708,252,1065,482,10,1809,55,260,154,0,469,2278,
34,Clayton,Lovejoy 7,2779,234,679,184,6,1103,44,203,53,2,302,1405,
35,Clayton,Morrow 1,3328,345,641,285,2,1273,92,160,97,0,349,1622,
36,Clayton,Morrow 2,2081,146,490,217,4,857,32,194,101,0,327,1184,
37,Clayton,Morrow 3,2407,158,595,285,3,1041,53,160,127,2,342,1383,
38,Clayton,Morrow 4,2112,186,444,225,2,857,44,124,82,1,251,1108,
39,Clayton,Morrow 5,3056,251,897,484,2,1634,59,256,150,0,465,2099,
40,Clayton,Morrow 6,3030,262,815,355,5,1437,70,220,126,0,416,1853,
41,Clayton,Morrow 7,2142,238,399,189,5,831,49,131,75,1,256,1087,
42,Clayton,Morrow 8,3185,231,929,446,7,1613,65,223,114,3,405,2018,
43,Clayton,Morrow 9,1509,128,346,180,1,655,24,98,57,0,179,834,
44,Clayton,Morrow 10,2342,155,707,233,1,1096,32,194,73,2,301,1397,
45,Clayton,Morrow 11,2295,206,586,218,3,1013,56,153,85,0,294,1307,
46,Clayton,Oak 1,2635,279,623,236,3,1141,66,122,52,0,240,1381,
47,Clayton,Oak 2,1974,196,360,186,9,751,41,80,45,1,167,918,
48,Clayton,Oak 3,2731,261,578,311,4,1154,69,101,75,2,247,1401,
49,Clayton,Oak 4,4233,385,940,393,8,1726,80,209,104,0,393,2119,
50,Clayton,Oak 5,1795,155,333,64,4,556,30,72,19,0,121,677,
51,Clayton,Panhandle 1,2895,219,906,466,2,1593,50,214,134,0,398,1991,
52,Clayton,Panhandle 2,3382,272,1032,394,5,1703,78,321,168,1,568,2271,
53,Clayton,Riverdale 1,2330,151,686,344,8,1189,37,180,118,1,336,1525,
54,Clayton,Riverdale 2,3431,265,779,441,21,1506,67,154,123,3,347,1853,
55,Clayton,Riverdale 3,3650,294,935,480,6,1715,64,193,140,1,398,2113,
56,Clayton,Riverdale 4,4362,362,868,519,9,1758,88,184,166,1,439,2197,
57,Clayton,Riverdale 5,2970,286,711,342,8,1347,58,153,108,3,322,1669,
58,Clayton,Riverdale 6,3661,316,538,348,9,1211,73,175,95,0,343,1554,
59,Clayton,Riverdale 7,3020,273,459,279,12,1023,58,121,80,2,261,1284,
60,Clayton,Riverdale 8,2895,221,740,483,5,1449,48,199,155,0,402,1851,
61,Clayton,Riverdale 9,2653,238,616,344,5,1203,52,158,77,2,289,1492,
62,Clayton,Riverdale 10,3176,295,572,240,9,1116,51,128,59,0,238,1354,
63,Clayton,Riverdale 11,1881,144,508,241,0,893,33,125,77,1,236,1129,
64,Clayton,Riverdale 12,3065,265,761,434,4,1464,66,166,104,0,336,1800,
