index,County,Precinct,Registered Voters,Fitz Johnson (Rep)_Election Day Votes,Fitz Johnson (Rep)_Advanced Voting Votes,Fitz Johnson (Rep)_Absentee by Mail Votes,Fitz Johnson (Rep)_Provisional Votes,Fitz Johnson (Rep)_Choice Total,Jerica Richardson (Dem)_Election Day Votes,Jerica Richardson (Dem)_Advanced Voting Votes,Jerica Richardson (Dem)_Absentee by Mail Votes,Jerica Richardson (Dem)_Provisional Votes,Jerica Richardson (Dem)_Choice Total,Total,
0,Cobb,Chattahoochee 01,5969,280,553,282,1,1116,401,1346,922,0,2669,3785,
1,Cobb,Chestnut Ridge 01,3162,351,635,653,0,1639,99,340,546,0,985,2624,
2,Cobb,Dickerson 01,2828,276,574,529,2,1381,77,331,533,1,942,2323,
3,Cobb,Dobbins 02,3984,146,244,128,1,519,205,522,344,3,1074,1593,
4,Cobb,Dodgen 01,2100,265,398,387,1,1051,80,233,360,1,674,1725,
5,Cobb,Eastside 01,3040,354,579,606,2,1541,82,308,553,1,944,2485,
6,Cobb,Eastside 02,4074,324,757,870,1,1952,118,433,777,1,1329,3281,
7,Cobb,Fullers Park 01,3452,367,667,589,0,1623,124,377,646,0,1147,2770,
8,Cobb,Hightower 01,4262,405,771,899,0,2075,100,457,814,0,1371,3446,
9,Cobb,Murdock 01,4059,450,721,770,0,1941,140,452,752,0,1344,3285,
10,Cobb,Marietta 6A,2647,84,104,67,1,256,201,445,281,1,928,1184,
11,Cobb,Marietta 7A,3745,7,6,1,0,14,21,78,34,0,133,147,
12,Cobb,Mt Bethel 01,4125,420,795,837,4,2056,97,399,788,2,1286,3342,
13,Cobb,Mt Bethel 03,3294,236,707,551,0,1494,69,405,615,0,1089,2583,
14,Cobb,Mt Bethel 04,2981,281,596,607,0,1484,64,276,542,0,882,2366,
15,Cobb,Nickajack 01,4889,166,430,290,1,887,306,1340,890,2,2538,3425,
16,Cobb,Oakdale 01,3944,280,535,513,0,1328,152,737,792,1,1682,3010,
17,Cobb,Powers Ferry 01,3504,343,497,420,0,1260,164,436,502,2,1104,2364,
18,Cobb,Roswell 01,5374,532,1085,1051,0,2668,141,543,1092,0,1776,4444,
19,Cobb,Roswell 02,3701,412,682,700,3,1797,114,371,732,0,1217,3014,
20,Cobb,Shallowford Falls 01,3387,414,668,585,0,1667,113,376,613,0,1102,2769,
21,Cobb,Sewell Mill 01,3493,364,606,532,0,1502,139,450,665,0,1254,2756,
22,Cobb,Sewell Mill 03,4759,198,279,358,1,836,96,201,286,0,583,1419,
23,Cobb,Smyrna 1A,4152,165,229,217,1,612,389,806,621,2,1818,2430,
24,Cobb,Smyrna 2A,5539,121,303,234,0,658,237,781,538,0,1556,2214,
25,Cobb,Smyrna 3B,2496,145,323,220,0,688,93,373,353,0,819,1507,
26,Cobb,Smyrna 4A,5842,309,812,833,1,1955,206,885,1112,0,2203,4158,
27,Cobb,Smyrna 6A,5936,368,858,791,0,2017,264,1101,1097,5,2467,4484,
28,Cobb,Smyrna 7A,6378,201,601,541,0,1343,151,1129,1140,0,2420,3763,
29,Cobb,Sope Creek 01,2163,287,398,429,1,1115,91,206,385,0,682,1797,
30,Cobb,Sope Creek 02,4729,379,815,728,2,1924,178,659,799,0,1636,3560,
31,Cobb,Sope Creek 03,2886,351,548,486,0,1385,99,338,422,0,859,2244,
32,Cobb,Terrell Mill 01,5816,265,472,424,0,1161,438,1036,832,4,2310,3471,
33,Cobb,Timber Ridge 01,2448,284,484,436,0,1204,63,265,478,1,807,2011,
34,Cobb,Vinings 01,3260,200,298,320,1,819,191,726,533,2,1452,2271,
35,Cobb,Vinings 02,6400,313,670,654,1,1638,387,1259,1063,4,2713,4351,
36,Cobb,Vinings 03,4407,174,553,486,3,1216,229,957,782,1,1969,3185,
37,Cobb,Vinings 04,3405,438,473,574,1,1486,173,489,453,0,1115,2601,
38,Cobb,Willeo 01,2836,366,543,506,1,1416,103,301,493,0,897,2313,
