index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,263,1056,598,0,1917,197,815,843,3,1858,24,54,51,0,129,3904,
1,Cobb,Acworth 1B,5214,398,961,521,1,1881,251,676,623,3,1553,39,51,51,1,142,3576,
2,Cobb,Acworth 1C,5110,192,669,284,1,1146,265,1057,772,8,2102,47,62,50,0,159,3407,
3,Cobb,Addison 01,2444,223,360,355,0,938,122,311,453,2,888,25,25,29,0,79,1905,
4,Cobb,Austell 1A,5329,147,245,176,0,568,364,1266,945,10,2585,29,38,25,3,95,3248,
5,Cobb,Bells Ferry 02,3127,299,495,330,1,1125,145,393,468,0,1006,39,37,33,0,109,2240,
6,Cobb,Bells Ferry 03,2436,248,305,174,2,729,170,298,339,1,808,46,33,22,0,101,1638,
7,Cobb,Bells Ferry 04,3646,453,598,387,1,1439,166,441,449,2,1058,47,46,47,1,141,2638,
8,Cobb,Big Shanty 01,2385,216,352,264,4,836,128,286,252,1,667,27,25,20,0,72,1575,
9,Cobb,Big Shanty 02,3236,294,579,376,2,1251,170,424,494,1,1089,24,33,31,1,89,2429,
10,Cobb,Baker 01,4773,325,669,291,3,1288,282,939,623,7,1851,52,60,38,0,150,3289,
11,Cobb,Birney 01,2727,119,220,254,6,599,213,460,402,6,1081,16,29,30,0,75,1755,
12,Cobb,Birney 02,3894,169,398,354,0,921,191,833,805,4,1833,23,44,39,0,106,2860,
13,Cobb,Bryant 01,2142,24,38,25,0,87,186,683,459,1,1329,5,25,9,1,40,1456,
14,Cobb,Bryant 02,6209,57,98,58,0,213,509,1451,750,5,2715,29,35,27,0,91,3019,
15,Cobb,Blackwell 01,2698,196,424,278,2,900,168,353,491,0,1012,39,33,33,0,105,2017,
16,Cobb,Chattahoochee 01,5969,253,513,252,2,1020,381,1344,907,3,2635,58,62,54,2,176,3831,
17,Cobb,Cheatham Hill 02,3085,296,697,452,0,1445,103,358,457,1,919,37,40,24,0,101,2465,
18,Cobb,Cheatham Hill 03,4029,317,817,529,1,1664,127,677,656,0,1460,26,54,33,0,113,3237,
19,Cobb,Chalker 01,6065,300,615,406,1,1322,452,1100,762,3,2317,60,59,38,0,157,3796,
20,Cobb,Clarkdale 01,1937,115,190,140,1,446,114,329,296,1,740,11,16,13,1,41,1227,
21,Cobb,Clarkdale 02,5372,242,457,275,1,975,422,1241,826,5,2494,37,40,23,0,100,3569,
22,Cobb,Cooper 01,5252,122,290,229,0,641,401,1216,898,4,2519,20,35,20,0,75,3235,
23,Cobb,Chestnut Ridge 01,3162,327,617,601,0,1545,100,322,572,0,994,24,35,34,0,93,2632,
24,Cobb,Dickerson 01,2828,262,561,451,4,1278,74,321,559,1,955,20,28,47,0,95,2328,
25,Cobb,Dobbins 01,3024,98,132,105,5,340,229,407,336,6,978,32,19,16,3,70,1388,
26,Cobb,Dobbins 02,3984,186,308,142,1,637,335,821,507,5,1668,35,34,15,1,85,2390,
27,Cobb,Dowell 01,3197,242,550,328,0,1120,154,542,547,4,1247,32,41,26,0,99,2466,
28,Cobb,Dodgen 01,2100,246,383,357,2,988,74,235,368,1,678,23,19,26,0,68,1734,
29,Cobb,Durham 01,4256,381,1350,589,1,2321,77,470,456,1,1004,34,41,37,0,112,3437,
30,Cobb,Davis 01,2093,308,341,230,0,879,120,266,335,0,721,28,18,25,0,71,1671,
31,Cobb,Eastside 01,3040,326,553,544,3,1426,91,307,582,1,981,18,24,38,0,80,2487,
32,Cobb,Eastside 02,4074,300,722,797,1,1820,111,429,795,1,1336,40,48,58,0,146,3302,
33,Cobb,Elizabeth 01,4065,214,317,170,1,702,304,794,528,3,1629,34,32,30,1,97,2428,
34,Cobb,Elizabeth 02,2434,237,363,384,3,987,109,296,363,1,769,28,28,24,0,80,1836,
35,Cobb,Elizabeth 03,2767,288,444,494,1,1227,109,347,430,1,887,34,21,30,0,85,2199,
36,Cobb,Elizabeth 04,3011,245,274,222,1,742,235,451,492,0,1178,44,16,32,0,92,2012,
37,Cobb,Elizabeth 05,2884,320,451,374,0,1145,130,338,537,1,1006,37,37,18,0,92,2243,
38,Cobb,East Piedmont 01,2627,249,303,229,1,782,180,399,415,0,994,32,23,17,0,72,1848,
39,Cobb,Fair Oaks 02,5779,222,384,281,5,892,470,1044,929,4,2447,45,27,37,1,110,3449,
40,Cobb,Fair Oaks 04,5322,245,278,255,0,778,487,625,603,8,1723,50,40,27,1,118,2619,
41,Cobb,Fullers Park 01,3452,343,632,536,0,1511,124,380,650,0,1154,28,30,43,0,101,2766,
42,Cobb,Ford 01,3161,309,950,423,1,1683,67,321,350,0,738,22,53,14,0,89,2510,
43,Cobb,Frey 01,2582,167,802,294,0,1263,58,303,279,1,641,16,38,31,0,85,1989,
44,Cobb,Garrison Mill 01,2872,323,575,362,1,1261,118,350,483,0,951,33,34,26,0,93,2305,
45,Cobb,Gritters 01,4033,405,658,487,1,1551,225,443,568,1,1237,54,52,36,0,142,2930,
46,Cobb,Harmony-Leland 01,6394,119,335,224,0,678,332,1899,1411,5,3647,29,67,43,0,139,4464,
47,Cobb,Harrison 01,3122,329,865,480,0,1674,82,315,318,0,715,34,35,24,0,93,2482,
48,Cobb,Hightower 01,4262,381,737,830,0,1948,92,450,826,0,1368,38,42,60,0,140,3456,
49,Cobb,Hayes 01,4111,346,1051,590,0,1987,116,434,538,1,1089,31,58,35,1,125,3201,
50,Cobb,Kennesaw 1A,2499,198,338,188,7,731,169,400,228,9,806,44,28,15,0,87,1624,
51,Cobb,Kennesaw 2A,3944,302,676,337,2,1317,188,558,494,2,1242,25,55,35,0,115,2674,
52,Cobb,Kennesaw 3A,6477,284,839,421,3,1547,358,1200,937,3,2498,55,66,43,1,165,4210,
53,Cobb,Kennesaw 4A,3783,231,644,387,2,1264,181,566,531,0,1278,21,44,38,1,104,2646,
54,Cobb,Kennesaw 5A,5855,494,1005,450,0,1949,305,1094,868,2,2269,65,67,46,0,178,4396,
55,Cobb,Kell 01,2006,276,319,239,0,834,122,198,288,1,609,46,23,35,1,105,1548,
56,Cobb,Kemp 01,1960,241,495,311,0,1047,60,175,217,0,452,17,24,19,0,60,1559,
57,Cobb,Kemp 02,4049,374,827,578,4,1783,129,557,570,2,1258,38,47,33,0,118,3159,
58,Cobb,Kemp 03,3955,505,1150,562,2,2219,87,384,401,0,872,30,43,27,1,101,3192,
59,Cobb,Lassiter 01,3647,433,710,541,0,1684,98,430,571,2,1101,42,47,53,0,142,2927,
60,Cobb,Lindley 01,4797,176,376,281,0,833,268,1389,1127,0,2784,25,30,38,0,93,3710,
