index,County,Precinct,Registered Voters,Rose Wing (Rep)_Election Day Votes,Rose Wing (Rep)_Advanced Voting Votes,Rose Wing (Rep)_Absentee by Mail Votes,Rose Wing (Rep)_Provisional Votes,Rose Wing (Rep)_Choice Total,Mary Frances Williams (I) (Dem)_Election Day Votes,Mary Frances Williams (I) (Dem)_Advanced Voting Votes,Mary Frances Williams (I) (Dem)_Absentee by Mail Votes,Mary Frances Williams (I) (Dem)_Provisional Votes,Mary Frances Williams (I) (Dem)_Choice Total,Total,
0,Cobb,Cheatham Hill 03,4029,255,584,397,1,1237,105,475,506,0,1086,2323,
1,Cobb,Dowell 01,3197,252,547,324,0,1123,175,585,584,2,1346,2469,
2,Cobb,Elizabeth 01,4065,7,13,4,0,24,17,27,10,0,54,78,
3,Cobb,Elizabeth 02,2434,259,376,371,3,1009,118,316,407,0,841,1850,
4,Cobb,Elizabeth 03,2767,218,303,347,1,869,89,261,339,0,689,1558,
5,Cobb,Elizabeth 04,3011,253,266,208,0,727,268,468,540,0,1276,2003,
6,Cobb,East Piedmont 01,2627,253,307,227,0,787,207,414,434,0,1055,1842,
7,Cobb,Kemp 02,4049,386,832,567,1,1786,156,598,617,0,1371,3157,
8,Cobb,Marietta 1A,4468,44,79,47,0,170,70,116,119,0,305,475,
9,Cobb,Marietta 2A,2059,248,311,317,0,876,105,240,243,0,588,1464,
10,Cobb,Marietta 2B,4447,206,406,342,1,955,153,458,405,0,1016,1971,
11,Cobb,Marietta 3A,4388,266,550,442,1,1259,121,442,525,0,1088,2347,
12,Cobb,Marietta 3B,2218,42,83,53,0,178,119,331,263,1,714,892,
13,Cobb,Marietta 4A,1956,47,29,22,0,98,27,29,29,0,85,183,
14,Cobb,Marietta 4B,2056,84,127,79,0,290,37,90,125,0,252,542,
15,Cobb,Marietta 5A,3324,113,141,130,0,384,144,268,352,0,764,1148,
16,Cobb,Marietta 5B,3084,125,141,97,0,363,266,505,358,0,1129,1492,
17,Cobb,Marietta 6A,2647,35,62,43,0,140,51,87,69,2,209,349,
18,Cobb,Marietta 6B,2910,246,442,326,0,1014,155,490,600,0,1245,2259,
19,Cobb,Marietta 7A,3745,4,2,0,0,6,6,15,3,0,24,30,
20,Cobb,Oregon 03,5713,83,129,96,0,308,158,380,270,1,809,1117,
