index,County,Precinct,Registered Voters,Sharon Cooper (I) (Rep)_Election Day Votes,Sharon Cooper (I) (Rep)_Advanced Voting Votes,Sharon Cooper (I) (Rep)_Absentee by Mail Votes,Sharon Cooper (I) (Rep)_Provisional Votes,Sharon Cooper (I) (Rep)_Choice Total,Luisa Wakeman (Dem)_Election Day Votes,Luisa Wakeman (Dem)_Advanced Voting Votes,Luisa Wakeman (Dem)_Absentee by Mail Votes,Luisa Wakeman (Dem)_Provisional Votes,Luisa Wakeman (Dem)_Choice Total,Total,
0,Cobb,Chattahoochee 01,5969,282,547,294,0,1123,408,1373,928,0,2709,3832,
1,Cobb,Eastside 01,3040,336,576,564,2,1478,100,321,621,1,1043,2521,
2,Cobb,Eastside 02,4074,331,742,843,1,1917,121,467,826,1,1415,3332,
3,Cobb,Fullers Park 01,3452,351,647,584,0,1582,147,403,666,0,1216,2798,
4,Cobb,Marietta 6A,2647,36,28,13,0,77,45,114,83,0,242,319,
5,Cobb,Mt Bethel 04,2981,274,585,600,0,1459,74,299,586,0,959,2418,
6,Cobb,Powers Ferry 01,3504,344,495,413,0,1252,178,448,526,2,1154,2406,
7,Cobb,Sewell Mill 01,3493,119,228,193,0,540,66,203,289,0,558,1098,
8,Cobb,Sewell Mill 03,4759,321,402,455,1,1179,227,543,526,0,1296,2475,
9,Cobb,Sope Creek 01,2163,287,385,414,1,1087,94,229,411,0,734,1821,
10,Cobb,Sope Creek 02,4729,386,794,719,1,1900,181,687,835,1,1704,3604,
11,Cobb,Sope Creek 03,2886,348,541,475,0,1364,107,360,454,0,921,2285,
12,Cobb,Terrell Mill 01,5816,213,382,375,0,970,203,661,637,0,1501,2471,
