index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,4,3,5,0,12,2,6,6,0,14,65,371,225,0,661,3,8,9,0,20,8,25,9,0,42,5,5,6,0,16,10,30,11,0,51,40,148,110,0,298,12,34,23,0,69,4,13,3,0,20,7,45,23,0,75,24,70,41,0,135,148,589,307,0,1044,4,17,8,0,29,11,12,13,0,36,2,6,5,0,13,4,7,8,0,19,7,21,5,0,33,127,533,672,3,1335,4,3,13,0,20,3942,
1,Cobb,Acworth 1B,5214,4,3,7,0,14,4,6,11,0,21,116,339,204,1,660,7,5,7,0,19,10,23,8,0,41,2,6,3,0,11,10,28,10,0,48,50,112,75,0,237,18,37,27,2,84,10,23,4,1,38,22,39,13,0,74,24,59,48,1,132,233,546,310,0,1089,12,11,3,0,26,16,7,8,0,31,4,2,2,0,8,5,5,2,0,12,9,15,6,0,30,131,434,457,1,1023,4,9,7,0,20,3618,
2,Cobb,Acworth 1C,5110,1,3,5,0,9,4,3,4,0,11,63,231,99,0,393,6,4,10,0,20,6,17,9,0,32,3,6,9,0,18,8,18,7,0,33,68,170,111,5,354,17,53,42,0,112,2,10,3,0,15,21,60,31,0,112,22,79,34,0,135,108,373,163,0,644,11,34,8,0,53,13,25,6,0,44,3,4,6,0,13,5,13,12,0,30,1,13,6,0,20,141,673,547,4,1365,4,12,4,0,20,3433,
3,Cobb,Addison 01,2444,2,3,4,0,9,3,3,2,0,8,70,121,131,0,322,2,1,4,0,7,9,7,7,0,23,3,1,2,0,6,3,9,8,0,20,16,41,48,0,105,5,11,9,0,25,6,2,2,0,10,5,11,4,0,20,13,24,24,0,61,141,214,205,0,560,6,11,6,0,23,11,12,6,0,29,5,0,2,0,7,1,0,4,0,5,3,3,7,0,13,66,227,375,0,668,5,5,4,1,15,1936,
4,Cobb,Austell 1A,5329,2,5,3,0,10,4,5,5,1,15,38,93,52,0,183,0,4,3,1,8,9,6,7,0,22,5,3,0,0,8,9,5,6,1,21,74,221,122,2,419,24,86,35,0,145,4,3,5,0,12,29,49,34,2,114,27,42,16,0,85,84,142,105,0,331,14,40,16,0,70,7,1,4,0,12,2,1,3,0,6,3,7,5,0,15,6,6,0,1,13,206,848,715,4,1773,1,15,7,1,24,3286,
5,Cobb,Bells Ferry 02,3127,3,4,2,0,9,5,4,4,0,13,107,186,120,0,413,8,5,6,0,19,9,10,4,0,23,5,3,2,0,10,5,11,2,0,18,39,50,57,0,146,7,23,8,0,38,5,2,4,0,11,7,20,19,0,46,15,32,27,0,74,162,278,190,0,630,5,14,2,0,21,12,7,12,0,31,3,2,1,0,6,1,6,4,0,11,6,7,3,0,16,79,269,363,1,712,2,5,11,0,18,2265,
6,Cobb,Bells Ferry 03,2436,4,3,0,0,7,6,3,0,0,9,76,104,56,0,236,2,4,7,0,13,8,7,1,0,16,3,2,1,0,6,5,10,4,0,19,28,51,42,1,122,10,12,7,0,29,7,7,4,0,18,10,14,10,0,34,21,28,14,0,63,157,179,115,1,452,3,8,3,0,14,13,9,3,0,25,4,4,2,0,10,2,1,1,0,4,6,10,3,1,20,101,186,270,0,557,4,2,5,0,11,1665,
7,Cobb,Bells Ferry 04,3646,4,1,3,0,8,6,4,1,0,11,129,223,130,1,483,2,0,6,0,8,8,15,9,0,32,7,1,3,0,11,11,3,5,0,19,39,51,48,0,138,7,16,11,1,35,9,5,3,1,18,13,21,16,0,50,18,36,31,0,85,282,350,227,0,859,12,15,0,0,27,20,14,9,0,43,5,3,3,0,11,1,4,5,0,10,6,5,2,0,13,93,320,374,2,789,3,3,3,0,9,2659,
8,Cobb,Big Shanty 01,2385,2,0,0,0,2,1,2,2,0,5,70,123,90,2,285,3,3,6,0,12,5,2,0,1,8,4,3,1,0,8,2,7,5,1,15,30,47,28,0,105,6,21,12,0,39,4,9,1,0,14,12,13,6,0,31,13,22,23,0,58,124,211,162,1,498,6,7,1,0,14,10,10,3,0,23,1,4,1,0,6,1,3,0,0,4,3,3,5,1,12,75,171,197,1,444,3,3,1,0,7,1590,
9,Cobb,Big Shanty 02,3236,1,2,4,0,7,2,3,1,0,6,85,213,143,1,442,3,4,4,0,11,6,6,4,0,16,5,3,0,0,8,7,12,6,0,25,37,64,52,0,153,9,17,10,1,37,9,4,2,0,15,10,19,17,0,46,11,30,34,0,75,184,322,223,1,730,3,11,8,0,22,1,9,12,0,22,4,3,0,0,7,2,1,4,0,7,4,10,2,0,16,108,301,375,1,785,2,8,3,0,13,2443,
