index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,264,1068,582,0,1914,204,857,876,3,1940,27,44,44,0,115,3969,
1,Cobb,Acworth 1B,5214,395,977,522,2,1896,277,702,634,4,1617,30,42,38,0,110,3623,
2,Cobb,Acworth 1C,5110,199,686,278,1,1164,286,1085,803,9,2183,34,46,32,0,112,3459,
3,Cobb,Addison 01,2444,232,367,350,0,949,130,332,472,3,937,17,11,23,0,51,1937,
4,Cobb,Austell 1A,5329,151,267,173,2,593,381,1298,948,10,2637,19,31,25,1,76,3306,
5,Cobb,Bells Ferry 02,3127,301,506,331,1,1139,164,425,490,1,1080,32,20,25,0,77,2296,
6,Cobb,Bells Ferry 03,2436,269,318,191,2,780,178,307,344,1,830,27,22,14,0,63,1673,
7,Cobb,Bells Ferry 04,3646,450,613,377,1,1441,204,456,466,3,1129,31,27,40,1,99,2669,
8,Cobb,Big Shanty 01,2385,205,357,254,6,822,156,300,264,1,721,18,14,19,0,51,1594,
9,Cobb,Big Shanty 02,3236,298,571,376,3,1248,184,470,518,1,1173,16,23,15,0,54,2475,
10,Cobb,Baker 01,4773,332,676,295,4,1307,312,988,622,6,1928,33,41,31,0,105,3340,
11,Cobb,Birney 01,2727,134,236,260,5,635,219,468,404,7,1098,15,21,30,0,66,1799,
12,Cobb,Birney 02,3894,180,394,347,1,922,196,883,843,4,1926,15,26,27,0,68,2916,
13,Cobb,Bryant 01,2142,23,45,26,0,94,192,701,447,2,1342,5,14,9,1,29,1465,
14,Cobb,Bryant 02,6209,58,105,62,0,225,529,1472,753,7,2761,17,37,22,0,76,3062,
15,Cobb,Blackwell 01,2698,211,435,266,2,914,184,369,516,0,1069,25,23,20,0,68,2051,
16,Cobb,Chattahoochee 01,5969,250,493,237,4,984,425,1402,947,5,2779,38,54,41,1,134,3897,
17,Cobb,Cheatham Hill 02,3085,307,698,430,0,1435,118,384,489,1,992,20,32,15,0,67,2494,
18,Cobb,Cheatham Hill 03,4029,315,811,524,1,1651,144,729,686,0,1559,23,28,24,0,75,3285,
19,Cobb,Chalker 01,6065,303,622,410,1,1336,484,1133,760,3,2380,49,42,38,0,129,3845,
20,Cobb,Clarkdale 01,1937,114,203,138,1,456,122,328,292,0,742,6,13,14,1,34,1232,
21,Cobb,Clarkdale 02,5372,257,463,274,1,995,448,1264,831,6,2549,25,42,21,0,88,3632,
22,Cobb,Cooper 01,5252,124,305,233,0,662,427,1236,896,4,2563,16,32,26,0,74,3299,
23,Cobb,Chestnut Ridge 01,3162,328,621,605,0,1554,122,359,607,0,1088,15,15,18,0,48,2690,
24,Cobb,Dickerson 01,2828,266,567,451,3,1287,91,342,610,1,1044,14,13,24,1,52,2383,
25,Cobb,Dobbins 01,3024,110,134,111,5,360,234,418,350,10,1012,24,17,8,0,49,1421,
26,Cobb,Dobbins 02,3984,173,291,138,1,603,371,839,509,7,1726,28,42,18,0,88,2417,
27,Cobb,Dowell 01,3197,247,553,324,0,1124,176,574,561,4,1315,16,22,18,0,56,2495,
28,Cobb,Dodgen 01,2100,251,377,354,1,983,85,254,395,1,735,19,12,18,0,49,1767,
29,Cobb,Durham 01,4256,389,1349,565,2,2305,90,511,486,1,1088,21,35,33,0,89,3482,
30,Cobb,Davis 01,2093,311,345,223,0,879,141,285,349,1,776,16,9,17,0,42,1697,
31,Cobb,Eastside 01,3040,330,559,549,3,1441,100,342,619,1,1062,11,14,25,0,50,2553,
32,Cobb,Eastside 02,4074,312,724,787,2,1825,120,471,843,1,1435,25,29,38,0,92,3352,
33,Cobb,Elizabeth 01,4065,214,328,169,1,712,338,816,540,4,1698,19,19,25,0,63,2473,
