County,Precinct,Registered Voters,"C. Verlyn """"Lucky"""" Brock (I) (Rep)_Election Day Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Advanced Voting Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Absentee by Mail Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Provisional Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Choice Total",Total,
Colquitt,Shaw,3487,166,482,248,0,896,896,
Colquitt,Moultrie,4809,470,1461,470,1,2402,2402,
Colquitt,Autreyville,1512,284,449,94,2,829,829,
Colquitt,Bridgecreek,1191,279,461,96,2,838,838,
Colquitt,Crosland,289,92,38,18,0,148,148,
Colquitt,Doerun,619,189,133,33,0,355,355,
Colquitt,Funston,1030,295,282,73,3,653,653,
Colquitt,Hamilton,784,270,208,52,0,530,530,
Colquitt,Hartsfield,408,172,87,43,1,303,303,
Colquitt,Hopewell,1670,291,639,136,2,1068,1068,
Colquitt,Lee,1094,227,304,84,0,615,615,
Colquitt,Millcreek,422,112,137,42,0,291,291,
Colquitt,Monk,1555,356,485,113,0,954,954,
Colquitt,Murphy,973,193,448,68,0,709,709,
Colquitt,Norman Park,2586,460,755,209,0,1424,1424,
Colquitt,Robinson,860,244,212,56,0,512,512,
Colquitt,Thigpen,251,100,47,19,0,166,166,
Colquitt,Tyty,543,232,79,34,0,345,345,
Colquitt,Warrior,971,288,262,69,0,619,619,
