index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Colquitt,Shaw,3487,78,256,77,0,411,334,428,304,0,1066,6,24,9,0,39,1516,
1,Colquitt,Moultrie,4809,322,1146,302,0,1770,214,521,297,1,1033,22,44,21,0,87,2890,
2,Colquitt,Autreyville,1512,251,406,71,2,730,43,91,46,0,180,9,4,3,0,16,926,
3,Colquitt,Bridgecreek,1191,263,429,78,2,772,16,33,34,0,83,6,7,2,0,15,870,
4,Colquitt,Crosland,289,80,31,17,0,128,21,15,9,1,46,1,0,0,0,1,175,
5,Colquitt,Doerun,619,146,119,19,0,284,65,31,27,0,123,5,0,1,0,6,413,
6,Colquitt,Funston,1030,270,255,61,3,589,28,44,29,0,101,7,8,1,0,16,706,
7,Colquitt,Hamilton,784,257,193,44,0,494,12,26,13,0,51,8,6,2,0,16,561,
8,Colquitt,Hartsfield,408,169,83,36,1,289,4,8,8,0,20,4,0,2,0,6,315,
9,Colquitt,Hopewell,1670,258,571,113,2,944,28,87,42,0,157,10,19,5,1,35,1136,
10,Colquitt,Lee,1094,208,266,69,0,543,26,51,23,0,100,6,6,2,0,14,657,
11,Colquitt,Millcreek,422,102,131,36,0,269,7,10,8,0,25,4,2,2,0,8,302,
12,Colquitt,Monk,1555,338,435,89,0,862,28,72,55,0,155,7,7,2,0,16,1033,
13,Colquitt,Murphy,973,187,421,55,0,663,10,40,30,0,80,4,12,1,0,17,760,
14,Colquitt,Norman Park,2586,382,663,144,0,1189,87,143,113,0,343,20,19,6,0,45,1577,
15,Colquitt,Robinson,860,225,195,46,0,466,30,31,15,0,76,3,8,1,0,12,554,
16,Colquitt,Thigpen,251,98,45,14,0,157,7,3,6,0,16,0,0,0,0,0,173,
17,Colquitt,Tyty,543,217,75,31,0,323,11,9,6,0,26,6,1,1,0,8,357,
18,Colquitt,Warrior,971,269,244,58,0,571,28,25,15,0,68,6,1,0,0,7,646,
