index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Colquitt,Shaw,3487,73,251,70,0,394,332,420,301,0,1053,5,20,7,0,32,1479,
1,Colquitt,Moultrie,4809,315,1134,305,0,1754,209,523,296,1,1029,25,41,12,0,78,2861,
2,Colquitt,Autreyville,1512,255,390,68,2,715,41,92,45,0,178,6,7,2,0,15,908,
3,Colquitt,Bridgecreek,1191,261,424,79,2,766,12,33,34,0,79,8,7,0,0,15,860,
4,Colquitt,Crosland,289,76,31,17,0,124,22,14,8,1,45,2,0,1,0,3,172,
5,Colquitt,Doerun,619,141,120,20,0,281,65,31,26,0,122,5,1,1,0,7,410,
6,Colquitt,Funston,1030,266,253,58,3,580,28,44,29,0,101,7,6,1,0,14,695,
7,Colquitt,Hamilton,784,254,190,44,0,488,14,25,12,0,51,6,5,3,0,14,553,
8,Colquitt,Hartsfield,408,166,81,35,1,283,6,7,9,0,22,2,2,1,0,5,310,
9,Colquitt,Hopewell,1670,253,571,113,2,939,34,84,41,1,160,7,17,5,0,29,1128,
10,Colquitt,Lee,1094,206,261,71,0,538,24,53,20,0,97,5,6,3,0,14,649,
11,Colquitt,Millcreek,422,108,131,37,0,276,5,10,10,0,25,3,1,0,0,4,305,
12,Colquitt,Monk,1555,327,434,90,0,851,29,69,53,0,151,10,5,0,0,15,1017,
13,Colquitt,Murphy,973,186,418,57,0,661,13,44,31,0,88,1,9,0,0,10,759,
14,Colquitt,Norman Park,2586,377,651,141,0,1169,92,143,112,0,347,13,13,6,0,32,1548,
15,Colquitt,Robinson,860,221,193,45,0,459,32,30,14,0,76,3,8,2,0,13,548,
16,Colquitt,Thigpen,251,97,44,13,0,154,7,3,6,0,16,1,0,0,0,1,171,
17,Colquitt,Tyty,543,214,75,31,0,320,10,9,5,0,24,6,1,1,0,8,352,
18,Colquitt,Warrior,971,259,239,58,0,556,31,27,15,0,73,7,2,0,0,9,638,
