index,County,Precinct,Registered Voters,Cindy S. Harvin (I) (Rep)_Election Day Votes,Cindy S. Harvin (I) (Rep)_Advanced Voting Votes,Cindy S. Harvin (I) (Rep)_Absentee by Mail Votes,Cindy S. Harvin (I) (Rep)_Provisional Votes,Cindy S. Harvin (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,170,505,265,0,940,940,
1,Colquitt,Moultrie,4809,480,1487,489,1,2457,2457,
2,Colquitt,Autreyville,1512,290,459,97,2,848,848,
3,Colquitt,Bridgecreek,1191,283,466,98,2,849,849,
4,Colquitt,Crosland,289,95,40,21,0,156,156,
5,Colquitt,Doerun,619,197,133,37,0,367,367,
6,Colquitt,Funston,1030,298,288,73,3,662,662,
7,Colquitt,Hamilton,784,270,211,53,0,534,534,
8,Colquitt,Hartsfield,408,175,89,43,1,308,308,
9,Colquitt,Hopewell,1670,297,655,139,2,1093,1093,
10,Colquitt,Lee,1094,231,308,85,0,624,624,
11,Colquitt,Millcreek,422,114,138,42,0,294,294,
12,Colquitt,Monk,1555,366,488,116,0,970,970,
13,Colquitt,Murphy,973,194,456,69,0,719,719,
14,Colquitt,Norman Park,2586,473,771,214,0,1458,1458,
15,Colquitt,Robinson,860,247,217,59,0,523,523,
16,Colquitt,Thigpen,251,101,48,18,0,167,167,
17,Colquitt,Tyty,543,232,81,35,0,348,348,
18,Colquitt,Warrior,971,293,265,71,0,629,629,
