index,County,Precinct,Registered Voters,Cindy Mason (I) (Rep)_Election Day Votes,Cindy Mason (I) (Rep)_Advanced Voting Votes,Cindy Mason (I) (Rep)_Absentee by Mail Votes,Cindy Mason (I) (Rep)_Provisional Votes,Cindy Mason (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,473,1205,230,0,1908,1908,
1,Columbia,Lewis Methodist Church,3737,508,1410,440,2,2360,2360,
2,Columbia,Woodlawn Baptist Church,1290,188,532,160,0,880,880,
3,Columbia,Patriots Park,4046,448,1704,344,0,2496,2496,
4,Columbia,New Life Church,4438,489,1485,346,2,2322,2322,
5,Columbia,Harlem Branch Library,2642,414,990,245,2,1651,1651,
6,Columbia,Harlem Senior Center,1819,382,593,163,0,1138,1138,
7,Columbia,Second Mt Moriah Baptist Church1027,180,444,92,1,717,717,,
8,Columbia,Bessie Thomas Center,799,119,380,71,2,572,572,
9,Columbia,Philadelphia Church,2355,292,855,206,1,1354,1354,
10,Columbia,Liberty Park-Grovetown,3410,428,999,275,2,1704,1704,
11,Columbia,Grovetown Methodist Church,2736,356,604,226,6,1192,1192,
12,Columbia,G A Apostolic Church,1701,291,510,189,1,991,991,
13,Columbia,Grovetown Public Safety Station 23696,379,1105,340,1,1825,1825,,
14,Columbia,Grove First Baptist Church,2954,274,884,238,1,1397,1397,
15,Columbia,Eubank-Blanchard Center,1576,424,549,104,1,1078,1078,
16,Columbia,Second Mt Carmel Baptist Church731,153,175,58,0,386,386,,
17,Columbia,Damascus Baptist Church,1023,378,319,86,1,784,784,
18,Columbia,Col Cty Bd of Edu,2143,281,845,237,3,1366,1366,
19,Columbia,Greenbrier High,3369,578,1424,344,1,2347,2347,
20,Columbia,Parkway Baptist Church,4596,691,1879,431,3,3004,3004,
21,Columbia,Riverview Church,1320,187,551,159,0,897,897,
22,Columbia,Grace Baptist Church,3558,488,1353,327,0,2168,2168,
23,Columbia,Christ Sanctified,2521,415,896,254,1,1566,1566,
24,Columbia,Blanchard Park,2026,306,584,218,2,1110,1110,
25,Columbia,Belair Baptist Church,2440,435,764,256,2,1457,1457,
26,Columbia,Marvin Methodist,1937,410,494,217,0,1121,1121,
27,Columbia,Westside Baptist Church,1516,336,474,240,0,1050,1050,
28,Columbia,Trinity Baptist Church,2836,522,922,344,3,1791,1791,
29,Columbia,Abilene Baptist,2046,374,611,241,0,1226,1226,
30,Columbia,Augusta Christian,2179,403,656,281,1,1341,1341,
31,Columbia,Savannah Rapids Pavilion,1549,159,696,360,0,1215,1215,
32,Columbia,Gospel Water Branch,2096,308,793,276,2,1379,1379,
33,Columbia,Genesis Church,1830,290,650,269,0,1209,1209,
34,Columbia,Stevens Creek Church,2760,435,1112,397,1,1945,1945,
35,Columbia,Mtz Col Fire Hdqtr,1291,267,304,116,1,688,688,
36,Columbia,Lakeside Middle,1923,337,632,174,1,1144,1144,
37,Columbia,Martinez Baptist,1962,422,459,188,0,1069,1069,
38,Columbia,Gold Cross EMS,1889,274,560,350,4,1188,1188,
39,Columbia,Church of Our Savior,2310,404,623,282,4,1313,1313,
40,Columbia,West Acres Baptist,2424,365,906,284,1,1556,1556,
41,Columbia,Journey Comm Church,1268,182,570,182,3,937,937,
42,Columbia,Wesley Methodist,2434,395,992,263,3,1653,1653,
43,Columbia,Col Cty Main Library,2106,234,851,216,1,1302,1302,
44,Columbia,Christ Church Presbyterian,2081,334,854,219,2,1409,1409,
45,Columbia,Blue Ridge Elementary,2301,371,772,227,1,1371,1371,
46,Columbia,Christ The King Luth Church,2148,230,884,326,1,1441,1441,
