index,County,Precinct,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,470,1200,218,0,1888,1888,
1,Columbia,Lewis Methodist Church,3737,508,1383,421,2,2314,2314,
2,Columbia,Woodlawn Baptist Church,1290,186,526,158,0,870,870,
3,Columbia,Patriots Park,4046,440,1669,313,0,2422,2422,
4,Columbia,New Life Church,4438,483,1458,339,2,2282,2282,
5,Columbia,Harlem Branch Library,2642,118,368,68,2,556,556,
6,Columbia,Second Mt Moriah Baptist Church1027,113,300,56,0,469,469,,
7,Columbia,Bessie Thomas Center,799,119,383,71,2,575,575,
8,Columbia,Philadelphia Church,2355,289,839,195,1,1324,1324,
9,Columbia,Grovetown Public Safety Station 23696,374,1083,320,2,1779,1779,,
10,Columbia,Grove First Baptist Church,2954,261,854,212,1,1328,1328,
11,Columbia,Eubank-Blanchard Center,1576,431,549,97,1,1078,1078,
12,Columbia,Second Mt Carmel Baptist Church731,154,168,59,0,381,381,,
13,Columbia,Damascus Baptist Church,1023,378,314,79,1,772,772,
14,Columbia,Col Cty Bd of Edu,2143,274,829,223,2,1328,1328,
15,Columbia,Greenbrier High,3369,565,1415,327,1,2308,2308,
16,Columbia,Parkway Baptist Church,4596,685,1850,402,1,2938,2938,
17,Columbia,Riverview Church,1320,189,539,148,0,876,876,
18,Columbia,Grace Baptist Church,3558,483,1305,302,0,2090,2090,
19,Columbia,Christ Sanctified,2521,409,882,248,1,1540,1540,
20,Columbia,Blanchard Park,2026,302,557,201,2,1062,1062,
21,Columbia,Belair Baptist Church,2440,433,753,247,1,1434,1434,
22,Columbia,Trinity Baptist Church,2836,518,905,333,3,1759,1759,
23,Columbia,Savannah Rapids Pavilion,1549,156,680,340,0,1176,1176,
24,Columbia,Gospel Water Branch,2096,302,778,258,2,1340,1340,
25,Columbia,Stevens Creek Church,2760,432,1092,384,1,1909,1909,
26,Columbia,Mtz Col Fire Hdqtr,1291,259,296,109,1,665,665,
27,Columbia,Lakeside Middle,1923,328,622,154,1,1105,1105,
28,Columbia,Gold Cross EMS,1889,268,550,333,5,1156,1156,
29,Columbia,Church of Our Savior,2310,403,616,267,4,1290,1290,
30,Columbia,West Acres Baptist,2424,363,885,263,1,1512,1512,
31,Columbia,Journey Comm Church,1268,179,558,167,2,906,906,
32,Columbia,Wesley Methodist,2434,388,974,252,3,1617,1617,
33,Columbia,Col Cty Main Library,2106,225,831,207,1,1264,1264,
34,Columbia,Christ Church Presbyterian,2081,324,849,210,2,1385,1385,
35,Columbia,Blue Ridge Elementary,2301,366,754,213,1,1334,1334,
36,Columbia,Christ The King Luth Church,2148,222,870,312,1,1405,1405,
