index,County,Precinct,Registered Voters,Wayne Bridges (I) (Rep)_Election Day Votes,Wayne Bridges (I) (Rep)_Advanced Voting Votes,Wayne Bridges (I) (Rep)_Absentee by Mail Votes,Wayne Bridges (I) (Rep)_Provisional Votes,Wayne Bridges (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,471,1206,229,0,1906,1906,
1,Columbia,Lewis Methodist Church,3737,506,1412,439,2,2359,2359,
2,Columbia,Woodlawn Baptist Church,1290,185,540,162,0,887,887,
3,Columbia,Patriots Park,4046,449,1704,343,0,2496,2496,
4,Columbia,New Life Church,4438,496,1504,350,2,2352,2352,
5,Columbia,Harlem Branch Library,2642,417,995,242,2,1656,1656,
6,Columbia,Harlem Senior Center,1819,381,593,163,0,1137,1137,
7,Columbia,Second Mt Moriah Baptist Church1027,181,444,91,1,717,717,,
8,Columbia,Bessie Thomas Center,799,120,388,70,2,580,580,
9,Columbia,Philadelphia Church,2355,292,858,208,1,1359,1359,
10,Columbia,Liberty Park-Grovetown,3410,431,1007,273,2,1713,1713,
11,Columbia,Grovetown Methodist Church,2736,360,609,220,6,1195,1195,
12,Columbia,G A Apostolic Church,1701,295,514,190,1,1000,1000,
13,Columbia,Grovetown Public Safety Station 23696,385,1118,339,1,1843,1843,,
14,Columbia,Grove First Baptist Church,2954,273,889,236,1,1399,1399,
15,Columbia,Eubank-Blanchard Center,1576,426,547,103,1,1077,1077,
16,Columbia,Second Mt Carmel Baptist Church731,158,178,57,0,393,393,,
17,Columbia,Damascus Baptist Church,1023,377,321,83,1,782,782,
18,Columbia,Col Cty Bd of Edu,2143,278,849,241,3,1371,1371,
19,Columbia,Greenbrier High,3369,576,1437,344,1,2358,2358,
20,Columbia,Parkway Baptist Church,4596,696,1894,436,3,3029,3029,
21,Columbia,Riverview Church,1320,190,554,161,0,905,905,
22,Columbia,Grace Baptist Church,3558,486,1362,316,0,2164,2164,
23,Columbia,Christ Sanctified,2521,412,901,255,1,1569,1569,
24,Columbia,Blanchard Park,2026,302,588,217,2,1109,1109,
25,Columbia,Belair Baptist Church,2440,438,773,254,2,1467,1467,
26,Columbia,Marvin Methodist,1937,413,497,218,0,1128,1128,
27,Columbia,Westside Baptist Church,1516,344,476,239,0,1059,1059,
28,Columbia,Trinity Baptist Church,2836,524,923,340,3,1790,1790,
29,Columbia,Abilene Baptist,2046,374,612,243,0,1229,1229,
30,Columbia,Augusta Christian,2179,401,658,281,1,1341,1341,
31,Columbia,Savannah Rapids Pavilion,1549,161,702,366,0,1229,1229,
32,Columbia,Gospel Water Branch,2096,313,804,278,2,1397,1397,
33,Columbia,Genesis Church,1830,295,657,269,0,1221,1221,
34,Columbia,Stevens Creek Church,2760,429,1118,397,1,1945,1945,
35,Columbia,Mtz Col Fire Hdqtr,1291,269,303,120,1,693,693,
36,Columbia,Lakeside Middle,1923,338,634,171,1,1144,1144,
37,Columbia,Martinez Baptist,1962,427,459,185,0,1071,1071,
38,Columbia,Gold Cross EMS,1889,273,565,346,4,1188,1188,
39,Columbia,Church of Our Savior,2310,414,625,279,4,1322,1322,
40,Columbia,West Acres Baptist,2424,360,912,283,1,1556,1556,
41,Columbia,Journey Comm Church,1268,184,570,177,3,934,934,
42,Columbia,Wesley Methodist,2434,395,1003,268,3,1669,1669,
43,Columbia,Col Cty Main Library,2106,237,850,214,1,1302,1302,
44,Columbia,Christ Church Presbyterian,2081,335,869,217,2,1423,1423,
45,Columbia,Blue Ridge Elementary,2301,374,776,227,1,1378,1378,
46,Columbia,Christ The King Luth Church,2148,230,893,336,1,1460,1460,
