index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Coweta,Senoia,5838,911,1808,958,1,3678,229,365,166,0,760,4438,
1,Coweta,Moreland,2758,789,537,404,1,1731,202,119,60,0,381,2112,
2,Coweta,Pine Road,2095,496,485,272,0,1253,85,97,56,0,238,1491,
3,Coweta,Dresden,839,306,110,96,0,512,76,22,14,0,112,624,
4,Coweta,Newnan,3478,462,586,532,0,1580,142,160,117,0,419,1999,
5,Coweta,Sharpsburg,4526,780,1441,566,0,2787,191,308,85,1,585,3372,
6,Coweta,Fischer Road,4328,665,1398,712,1,2776,146,270,108,1,525,3301,
7,Coweta,Cedar Creek,5330,911,1640,960,0,3511,199,317,134,0,650,4161,
8,Coweta,Grantville,2572,653,401,287,1,1342,204,86,45,0,335,1677,
9,Coweta,Haralson,2339,665,459,254,0,1378,186,102,65,0,353,1731,
10,Coweta,Welcome,3212,948,483,419,0,1850,230,110,80,0,420,2270,
11,Coweta,Panther Creek,3028,823,495,382,0,1700,170,124,67,0,361,2061,
12,Coweta,Raymond,2492,578,640,339,0,1557,115,123,53,0,291,1848,
13,Coweta,Turin,4477,916,1280,589,0,2785,243,330,101,0,674,3459,
14,Coweta,Smokey Road,2559,487,435,341,1,1264,132,145,87,0,364,1628,
15,Coweta,Central,4395,512,751,493,3,1759,182,202,122,2,508,2267,
16,Coweta,Newnan Centre,20465,2571,5956,3426,1,11954,534,1286,501,0,2321,14275,
17,Coweta,Greentop,2846,544,575,511,0,1630,100,125,84,1,310,1940,
18,Coweta,Expo Center,1974,498,402,342,0,1242,101,77,53,0,231,1473,
19,Coweta,White Oak,4636,721,1414,653,1,2789,181,295,110,0,586,3375,
20,Coweta,Madras,4462,730,1300,753,3,2786,164,294,147,1,606,3392,
21,Coweta,Cannongate,3653,781,1075,562,0,2418,130,202,67,0,399,2817,
22,Coweta,Westside,838,173,99,101,0,373,64,21,29,0,114,487,
23,Coweta,Northside,2285,574,401,403,0,1378,136,97,62,1,296,1674,
24,Coweta,Thomas Crossroads,4962,774,1643,661,0,3078,203,338,98,0,639,3717,
25,Coweta,Coweta Central Library,1723,273,571,226,0,1070,57,156,32,0,245,1315,
