index,County,Precinct,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
0,Coweta,Senoia,5838,1105,1978,835,1,3919,3919,
1,Coweta,Moreland,2758,951,628,354,0,1933,1933,
2,Coweta,Pine Road,2095,578,534,273,0,1385,1385,
3,Coweta,Dresden,839,365,118,88,0,571,571,
4,Coweta,Newnan,3478,490,539,387,0,1416,1416,
5,Coweta,Sharpsburg,4526,927,1620,511,1,3059,3059,
6,Coweta,Fischer Road,4328,775,1498,599,2,2874,2874,
7,Coweta,Cedar Creek,5330,1048,1765,858,0,3671,3671,
8,Coweta,Grantville,2572,785,423,240,1,1449,1449,
9,Coweta,Haralson,2339,823,530,242,0,1595,1595,
10,Coweta,Welcome,3212,1119,540,391,0,2050,2050,
11,Coweta,Panther Creek,3028,933,566,368,0,1867,1867,
12,Coweta,Raymond,2492,667,702,316,0,1685,1685,
13,Coweta,Turin,4477,1123,1480,564,0,3167,3167,
14,Coweta,Smokey Road,2559,518,462,281,1,1262,1262,
15,Coweta,Central,4395,508,644,349,3,1504,1504,
16,Coweta,Newnan Centre,20465,2728,5880,2753,2,11363,11363,
17,Coweta,Greentop,2846,583,582,449,0,1614,1614,
18,Coweta,Expo Center,1974,547,418,327,0,1292,1292,
19,Coweta,White Oak,4636,817,1469,553,1,2840,2840,
20,Coweta,Madras,4462,828,1375,660,2,2865,2865,
21,Coweta,Cannongate,3653,884,1152,486,0,2522,2522,
22,Coweta,Westside,838,169,89,82,0,340,340,
23,Coweta,Northside,2285,637,426,335,0,1398,1398,
24,Coweta,Thomas Crossroads,4962,907,1808,563,0,3278,3278,
25,Coweta,Coweta Central Library,1723,312,658,204,0,1174,1174,
